cycle,state_abbrev,poll_count,multi_candidate_poll_count,poll_d_pct,poll_r_pct,poll_third_pct,poll_margin_dr,actual_margin_dr,actual_third_share,margin_error_actual_minus_poll,direction_correct,large_third_poll
2014,AK,2,0,39.5,40.0,0.0,-0.5,-2.270496383213277,5.746128444545661,-1.7704963832132772,1,0
2014,AR,2,0,39.5,44.0,0.0,-4.5,-17.791666102906174,4.014994096812279,-13.291666102906174,1,0
2014,CO,5,0,44.4,43.6,0.0,0.7999999999999972,-2.0584058661040383,5.534580594965944,-2.8584058661040355,0,0
2014,DE,2,0,48.5,34.5,0.0,14.0,13.871482233591019,1.9484015416299918,-0.12851776640898116,1,0
2014,GA,6,0,42.166666666666664,46.333333333333336,0.0,-4.166666666666671,-7.831874164069302,1.904583876112088,-3.6652074974026307,1,0
2014,HI,2,0,61.0,27.5,0.0,33.5,43.15741242862487,2.527319701278217,9.657412428624873,1,0
2014,IA,7,0,44.142857142857146,44.285714285714285,0.0,-0.1428571428571388,-8.698964398007286,4.044342094420555,-8.556107255150147,1,0
2014,ID,1,0,25.0,59.0,0.0,-34.0,-30.656723928906374,0.0,3.3432760710936265,1,0
2014,IL,3,0,51.333333333333336,36.333333333333336,0.0,15.0,11.277308796972688,3.7563281891950617,-3.7226912030273116,1,0
2014,KS,4,4,6.75,37.5,40.25,-30.75,-100.0,46.853523068237834,-69.25,1,1
2014,KY,2,0,39.0,47.0,0.0,-8.0,-15.960574494155525,3.091022294528466,-7.960574494155525,1,0
2014,MA,3,0,51.666666666666664,28.666666666666668,0.0,22.999999999999996,23.92023801403914,0.00028819828041692686,0.9202380140391426,1,0
2014,ME,2,0,28.5,58.5,0.0,-30.0,-36.97684009679359,0.0,-6.9768400967935875,1,0
2014,MI,4,0,44.0,38.5,0.0,5.5,13.84702192054782,4.0565435453145025,8.34702192054782,1,0
2014,MN,2,0,49.0,38.5,0.0,10.5,10.663790458498124,3.898473579592931,0.16379045849812357,1,0
2014,MS,1,0,31.0,46.0,0.0,-15.0,-22.501618332470223,2.2058753707320315,-7.501618332470223,1,0
2014,MT,1,0,35.0,53.0,0.0,-18.0,-18.106180556131232,2.145062813323022,-0.1061805561312319,1,0
2014,NC,7,5,44.142857142857146,39.714285714285715,5.6,4.428571428571431,-1.6283279362778527,3.7810025098128666,-6.056899364849283,0,1
2014,NE,1,0,30.0,56.0,0.0,-26.0,-34.283832564319965,4.0986050888049625,-8.283832564319965,1,0
2014,NH,6,0,48.666666666666664,42.833333333333336,0.0,5.833333333333329,3.2550854930107227,0.0,-2.578247840322606,1,0
2014,NJ,3,0,47.666666666666664,34.0,0.0,13.666666666666664,13.762755678923343,1.8385320413899713,0.09608901225667843,1,0
2014,NM,2,0,52.5,37.0,0.0,15.5,11.117620357474015,0.0,-4.382379642525985,1,0
2014,OR,2,0,46.5,36.5,0.0,10.0,20.370419629609927,6.980465254380575,10.370419629609927,1,0
2014,RI,1,0,52.0,32.0,0.0,20.0,41.40580795867985,0.0,21.40580795867985,1,0
2014,SC,1,0,29.0,42.0,0.0,-13.0,-22.550762640314527,1.7917166618395466,-9.550762640314527,1,0
2014,SD,2,2,28.5,41.0,15.5,-12.5,-26.113702245101862,20.119035689233105,-13.613702245101862,1,1
2014,TN,1,0,32.0,47.0,0.0,-15.0,-32.00774883825659,6.268262418444542,-17.00774883825659,1,0
2014,TX,1,0,34.0,55.0,0.0,-21.0,-28.350913831561826,4.07541759907477,-7.350913831561826,1,0
2014,VA,2,0,52.0,35.0,0.0,17.0,0.8324071060998579,2.432848354957074,-16.167592893900142,1,0
2014,WV,1,0,32.0,55.0,0.0,-23.0,-28.632069012734494,3.418420988827148,-5.632069012734494,1,0
2014,WY,1,0,21.0,66.0,0.0,-45.0,-61.07227806083575,10.116782496322632,-16.07227806083575,1,0
2018,AZ,4,0,47.5,45.0,0.0,2.5,2.402957486136784,2.4329071579678465,-0.09704251386321605,1,0
2018,CA,1,0,44.0,24.0,0.0,20.0,100.0,0.0,80.0,1,0
2018,FL,4,0,43.75,44.5,0.0,-0.75,-0.12251835607793257,0.012551884888959164,0.6274816439220674,1,0
2018,IN,1,0,43.0,45.0,0.0,-2.0,-6.162903216195068,4.425372333317999,-4.162903216195068,1,0
