cycle,race_id,state_abbrev,y,pvi,same_raw,same_resid,same_gap,same_missing,econ,national,inc_diff,outparty,sen_personal_diff,house_personal_diff,gov_personal_diff,candidate_evidence_n,d_pid,r_pid,same_source_race_id,same_source_cycle,d_sen_n,r_sen_n,d_house_n,r_house_n,d_gov_n,r_gov_n
2022,8930,IA,-12.19684055,-12.72141784,-25.52053011,-24.82094263330212,6.0,0.0,1.5533194715204202,1.8033150000000049,-1.0,0.0,-9.30612655449006,-11.309214925693079,0.0,2,18383,517,92,2016,0,1,0,1,0,0
2022,9480,CA,21.78714896,26.84865662,10.60932043,0.9802398786347437,12.0,0.0,-1.5158750316726866,1.8033150000000049,1.0,0.0,0.0,0.0,0.0,0,17803,17867,1510,2010,0,0,0,0,0,0
2022,8921,CA,22.12901552,26.84865662,10.60932043,0.9802398786347437,12.0,0.0,-1.5158750316726866,1.8033150000000049,1.0,0.0,0.0,0.0,0.0,0,17803,17867,1510,2010,0,0,0,0,0,0
2022,8945,PA,5.03509554,-3.23222231,-1.49036036,-0.7374440451501028,6.0,0.0,-2.0820496309499554,1.8033150000000049,0.0,0.0,0.0,0.0,0.0,0,8074,17731,86,2016,0,0,0,0,0,0
2022,8923,CT,14.91664993,14.60088341,29.21173227,17.851687603804425,6.0,0.0,3.1139558436057757,1.8033150000000049,1.0,0.0,1.2139884563209227,0.0,0.0,1,447,18449,91,2016,1,0,0,0,0,0
2022,8929,IN,-21.5007215,-21.43269234,-10.26133806,4.227987030356511,6.0,0.0,-0.34794596162771585,1.8033150000000049,-1.0,0.0,0.0,-6.487124645384614,0.0,3,18027,3050,78,2016,0,0,0,3,0,0
2022,8936,MO,-13.58010754,-20.75415365,-2.92153758,11.391790512520178,6.0,0.0,-1.2024083440464794,1.8033150000000049,0.0,0.0,0.0,0.0,0.0,0,18422,13297,70,2016,0,0,0,0,0,0
2022,8925,GA,0.97741402,-5.37037589,-14.3508341,0.5510895302641905,6.0,0.0,-1.153253254620601,1.8033150000000049,1.0,1.0,0.0,0.0,0.0,0,10220,11490,88,2016,0,0,0,0,0,0
2022,8920,AR,-35.78288014,-32.24675519,-24.59866778,6.266883397605913,6.0,0.0,-1.6622271227686451,1.8033150000000049,-1.0,0.0,1.6476016996407197,-2.3906272107851763,0.0,2,18465,376,83,2016,0,1,0,1,0,0
2022,8917,AL,-36.65298426,-30.56208077,-28.14048094,1.9425735172563559,6.0,0.0,-2.2182064349718256,1.8033150000000049,0.0,0.0,0.0,0.0,0.0,0,16112,18466,68,2016,0,0,0,0,0,0
2018,112,NV,5.24754825,1.19820414,-1.28090504,-14.442741885262677,6.0,0.0,-1.9757793497093834,8.83491,-1.0,-1.0,0.0,8.016314732503094,0.0,4,8322,1021,1489,2012,0,0,1,3,0,0
2018,107,MN,24.96346661,0.93133472,36.23860405,22.59581962464783,6.0,0.0,1.1951950662447919,8.83491,1.0,0.0,0.8756221858620309,0.0,0.0,1,992,9092,1484,2012,1,0,0,0,0,0
2018,116,ND,-10.90541074,-36.00212727,0.91825182,10.532804039679538,6.0,0.0,0.314330919832706,8.83491,1.0,1.0,0.0,-9.361003652519894,0.0,3,1005,3110,1493,2012,0,0,0,3,0,0
2018,119,RI,23.15947411,17.61929315,29.91257166,-1.5673105174509967,6.0,0.0,-0.03965014959188551,8.83491,1.0,0.0,-10.863106709941215,0.0,0.0,1,1038,9190,1496,2012,1,0,0,0,0,0
2018,123,VT,42.10799183,29.60865778,48.06836072,10.471574847443774,6.0,0.0,1.9648212559337574,8.83491,1.0,0.0,0.42672448452262124,0.0,0.0,1,37,9595,1500,2012,1,0,0,0,0,0
