cycle,race_id,state,side,candidate,score,fec_candidate_id,fec_candidate_name,party,pcc
2018,115,NY,R,Chele Farley,0.49176470588235294,,,,
2018,111,NE,D,Jane Raybould,0.6953846153846154,,,,
2018,111,NE,R,Deb Fischer,0.6184615384615384,,,,
2018,108,MS,D,David Baria,0.58,,,,
2018,108,MS,R,Roger F. Wicker,0.58,,,,
2018,109,MO,D,Claire McCaskill,0.6425,,,,
2018,109,MO,R,Josh Hawley,0.48000000000000004,,,,
2018,110,MT,D,Jon Tester,0.6799999999999999,,,,
2018,110,MT,R,Matt Rosendale,0.7228571428571429,,,,
2018,117,OH,D,Sherrod Brown,0.6184615384615384,,,,
2018,117,OH,R,Jim Renacci,0.6184615384615384,,,,
2018,118,PA,D,Robert P. Casey Jr.,0.6514285714285714,,,,
2018,118,PA,R,Lou Barletta,0.7466666666666666,,,,
2018,120,TN,D,Phil Bredesen,0.6514285714285714,,,,
2018,120,TN,R,Marsha Blackburn,0.58,,,,
2018,121,TX,D,Beto O'Rourke,0.5648484848484848,,,,
2018,121,TX,R,Ted Cruz,0.3527272727272727,,,,
2018,96,AZ,D,Kyrsten Sinema,0.58,,,,
2018,96,AZ,R,Martha McSally,0.58,,,,
2018,126,WV,D,"Joe Manchin, III",0.7163636363636363,,,,
2018,126,WV,R,Patrick Morrisey,0.6514285714285714,,,,
2018,98,CT,D,Christopher S. Murphy,0.8241860465116279,S2CT00132,"MURPHY, CHRISTOPHER S MR",DEM,C00492645
2018,98,CT,R,Matthew M. Corey,0.6745945945945946,,,,
2018,100,FL,D,Bill Nelson,0.6254545454545454,,,,
2018,100,FL,R,Rick Scott,0.58,,,,
2018,102,IN,D,Joe Donnelly,0.6317241379310344,,,,
2018,102,IN,R,Mike Braun,0.58,,,,
2018,106,MI,D,Debbie Stabenow,0.6133333333333333,,,,
2018,106,MI,R,John James,0.6114285714285714,,,,
2018,103,ME,D,Angus S. King Jr.,0.41333333333333333,,,,
2018,103,ME,R,Eric L. Brakey,0.58,,,,
2022,8926,HI,D,Brian Schatz,0.58,,,,
2022,8926,HI,R,Bob McDermott,0.6606451612903226,,,,
2022,8927,ID,D,David Roth,0.5985185185185184,,,,
2022,8927,ID,R,Mike Crapo,0.48000000000000004,,,,
2022,8931,KS,D,Mark R. Holland,0.5175,,,,
2022,8931,KS,R,Jerry Moran,0.5345454545454545,,,,
2022,8919,AZ,D,Mark Kelly,0.58,,,,
2022,8919,AZ,R,Blake Masters,0.6184615384615384,,,,
2022,8922,CO,D,Michael Bennet,0.6133333333333333,,,,
2022,8922,CO,R,Joe O'Dea,0.5345454545454545,,,,
2022,8924,FL,D,Val Demings,0.7163636363636363,,,,
2022,8924,FL,R,Marco Rubio,0.5345454545454545,,,,
2022,8940,NC,D,Cheri Beasley,0.6184615384615384,,,,
2022,8940,NC,R,Ted Budd,0.42782608695652175,,,,
2022,8937,NV,D,Catherine Cortez Masto,0.6254545454545454,,,,
2022,8937,NV,R,Adam Paul Laxalt,0.5244444444444444,,,,
2022,8928,IL,D,Tammy Duckworth,0.6425,,,,
2022,8928,IL,R,Kathy Salvi,0.5985185185185184,,,,
2022,8943,OK,D,Madison Horn,0.6633333333333333,,,,
2022,8943,OK,R,James Lankford,0.5648484848484848,,,,
2022,9482,OK,D,Kendra Horn,0.6254545454545454,,,,
2022,9482,OK,R,Markwayne Mullin,0.6425,,,,
2022,8946,SC,D,Krystle Matthews,0.58,,,,
2022,8946,SC,R,Tim Scott,0.5345454545454545,,,,
2022,8951,WI,D,Mandela Barnes,0.58,,,,
2022,8951,WI,R,Ron Johnson,0.7163636363636363,,,,
2022,8938,NH,D,Maggie Hassan,0.6184615384615384,,,,
2022,8938,NH,R,Donald C. Bolduc,0.6133333333333333,,,,
2022,8941,ND,D,Katrina Christiansen,0.6799999999999999,,,,
2022,8941,ND,R,John Hoeven,0.6254545454545454,,,,
2022,8947,SD,D,Brian L. Bengs,0.6184615384615384,,,,
2022,8947,SD,R,John R. Thune,0.58,,,,
2022,8950,WA,D,Patty Murray,0.58,,,,
2022,8950,WA,R,Tiffany Smiley,0.58,,,,
2022,8949,VT,D,Peter Welch,0.5345454545454545,,,,
2022,8949,VT,R,Gerald Malloy,0.5599999999999999,,,,
2022,8935,MD,D,Chris Van Hollen,0.705,,,,
2022,8935,MD,R,Chris Chaffee,0.6184615384615384,,,,
2022,8932,KY,D,Charles Booker,0.6094117647058823,,,,
2022,8932,KY,R,Rand Paul,0.6633333333333333,,,,
2022,8942,OH,D,Tim Ryan,0.511578947368421,,,,
2022,8942,OH,R,JD Vance,0.668235294117647,,,,
2022,8944,OR,D,Ron Wyden,0.5147826086956522,,,,
2022,8944,OR,R,Jo Rae Perkins,0.58,,,,
2022,8939,NY,D,Charles E. Schumer,0.6094117647058823,,,,
2022,8939,NY,R,Joe Pinion,0.6017391304347826,,,,
2022,8930,IA,D,Michael Franken,0.58,,,,
2022,8930,IA,R,Chuck Grassley,0.58,,,,
2022,9480,CA,D,Alex Padilla,0.6633333333333333,,,,
2022,9480,CA,R,Mark P. Meuser,0.58,,,,
2022,8921,CA,D,Alex Padilla,0.6633333333333333,,,,
2022,8921,CA,R,Mark P. Meuser,0.58,,,,
2022,8945,PA,D,John Fetterman,0.6254545454545454,,,,
2022,8945,PA,R,Mehmet Oz,0.7466666666666666,,,,
2022,8923,CT,D,Richard Blumenthal,0.6355555555555555,,,,
2022,8923,CT,R,Leora R. Levy,0.5345454545454545,,,,
2022,8929,IN,D,Thomas McDermott,0.6094117647058823,,,,
2022,8929,IN,R,Todd Young,0.4966666666666667,,,,
2022,8936,MO,D,Trudy Busch Valentine,0.7942857142857143,,,,
2022,8936,MO,R,Eric Schmitt,0.6633333333333333,,,,
2022,8925,GA,D,Raphael Warnock,0.5466666666666666,,,,
2022,8925,GA,R,Herschel Junior Walker,0.58,,,,
2022,8920,AR,D,Natalie James,0.68,,,,
2022,8920,AR,R,John Boozman,0.58,,,,
2022,8917,AL,D,Will Boyd,0.52,,,,
2022,8917,AL,R,Katie Britt,0.5985185185185184,,,,
