variant,scope,n,rmse,mae,direction_pct
structural_only,2014_2018_2022_combined,91,11.109656205477057,8.405767699795572,85.71428571428571
structural_only,2014,29,14.390060418223257,10.928637360681476,82.75862068965517
structural_only,2018,32,10.786519507186698,8.50251878956421,84.375
structural_only,2022,30,7.078880623530035,5.863792531852652,90.0
personal_offset_nested,2014_2018_2022_combined,91,11.293824598775197,8.709376348260445,83.51648351648352
personal_offset_nested,2014,29,14.268100422715822,10.805113624753641,82.75862068965517
personal_offset_nested,2018,32,10.281769096807784,8.543262909091428,78.125
personal_offset_nested,2022,30,8.794767981302273,6.860684649430641,90.0
personal_regression_nested,2014_2018_2022_combined,91,11.170170520134862,8.611089933802074,84.61538461538461
personal_regression_nested,2014,29,14.390060418223259,10.92863736068148,82.75862068965517
personal_regression_nested,2018,32,10.225962029879753,8.421287944130551,81.25
personal_regression_nested,2022,30,8.170935588038596,6.573249543468267,90.0
