variant,scope,n,rmse,mae,direction_pct
structural_only,2014_2018_2022_combined,91,11.109656205477057,8.405767699795572,85.71428571428571
structural_only,2014,29,14.390060418223257,10.928637360681476,82.75862068965517
structural_only,2018,32,10.786519507186698,8.50251878956421,84.375
structural_only,2022,30,7.078880623530035,5.863792531852652,90.0
candidate_fixed,2014_2018_2022_combined,91,12.06640275800705,9.180078875592212,87.91208791208791
candidate_fixed,2014,29,16.00329651026792,11.998363107159385,86.20689655172413
candidate_fixed,2018,32,11.09463737230524,8.802946139095699,81.25
candidate_fixed,2022,30,7.923496883684074,6.858012370673563,96.66666666666667
candidate_ridge_nested,2014_2018_2022_combined,91,11.913151213648831,8.933103744371769,87.91208791208791
candidate_ridge_nested,2014,29,16.00329651026792,11.998363107159385,86.20689655172413
candidate_ridge_nested,2018,32,11.09463737230524,8.802946139095699,81.25
candidate_ridge_nested,2022,30,7.18572160878174,6.1088544726382175,96.66666666666667
candidate_subset_nested,2014_2018_2022_combined,91,12.970986005301034,9.657981670544865,87.91208791208791
candidate_subset_nested,2014,29,16.601344837509107,12.358689396321207,86.20689655172413
candidate_subset_nested,2018,32,13.086807914218896,10.024065555694408,81.25
candidate_subset_nested,2022,30,7.826087373104724,6.656808058134886,96.66666666666667
