race_id,cycle,state_abbrev,seat,y,pvi,same_seat,inc_diff,outparty,sen_exp_diff,gov_exp_diff,house_exp_diff
1519,2010,IL,Class III,-1.6928822334839642,16.37959387,44.240204677248826,0,0,0,0,-1
1516,2010,HI,Class III,55.23718596622869,29.59650994,56.50110653416534,1,0,1,0,1
1527,2010,MO,Class III,-14.34050510440936,-6.60158484,-13.444728828441722,0,0,0,0,-1
1540,2010,UT,Class III,-30.54886938882701,-38.9959925,-41.518414173521755,0,0,0,0,0
1509,2010,AR,Class III,-22.096207760748555,-21.00971788,11.832140048834995,1,1,1,0,0
1536,2010,OR,Class III,18.632383563769935,8.54406097,33.263281428019894,1,0,1,0,1
1521,2010,IA,Class III,-31.79453913704089,2.15313551,-43.143243205978465,-1,-1,-1,0,-1
1525,2010,MD,Class III,26.99397671858933,17.53758413,31.543536738781313,1,0,1,0,1
1532,2010,NC,Class III,-12.02295706690433,-8.01932912,-4.641473935134495,-1,0,-1,0,-1
1541,2010,VT,Class III,35.084382534154834,28.00154652,48.42288880528098,1,0,1,0,0
1544,2010,WI,Class III,-4.8925525755755706,5.45918059,11.29950781899737,1,0,1,0,0
1538,2010,SC,Class III,-37.960249079225335,-15.91089021,-9.784054443306687,-1,0,-1,0,-1
1528,2010,NV,Class III,6.054847941813589,3.56659749,26.9634162769663,1,0,1,0,1
1530,2010,NY,Class III,34.61466690722772,20.20065962,49.17603781642633,1,0,1,0,1
1518,2010,IL,Class III,-1.6928822334839642,16.37959387,44.240204677248826,0,0,0,0,-1
1511,2010,CO,Class III,1.723624084031676,0.41412056,4.875219219964925,1,0,1,0,0
1512,2010,CT,Class III,12.138690616292056,14.52602023,34.75157793907188,0,0,0,0,0
1514,2010,FL,Class III,-41.53357375693393,-3.8853025,-1.1381283246122678,0,0,0,0,1
1522,2010,KS,Class III,-45.31408928584686,-22.81475321,-43.1200513196481,0,0,0,0,-1
1535,2010,OK,Class III,-45.98901143558442,-35.36289222,-12.254453996263738,-1,0,-1,0,-1
1506,2010,AL,Class III,-30.500202183582694,-27.2283572,-35.226195258265484,-1,0,-1,0,-1
1534,2010,OH,Class III,-18.12194805120534,-1.69344284,-27.70578784328232,0,0,0,0,-1
1510,2010,CA,Class III,10.609320432264035,15.65837553,20.846759587027055,1,0,1,0,1
1508,2010,AZ,Class III,-25.888662302691618,-13.3841487,-57.64056256967064,-1,0,-1,0,-1
1515,2010,GA,Class III,-19.843308853693262,-13.15778158,-18.290982051415465,-1,0,-1,0,-1
1520,2010,IN,Class III,-15.41562442609845,-10.30209513,24.701808371815606,0,0,-1,0,0
1523,2010,KY,Class III,-11.48095751601687,-21.75984053,-1.3136452786595854,0,0,0,0,0
1529,2010,NH,Class III,-23.97501605171033,2.85741717,-32.49532294529522,0,0,0,0,1
1533,2010,ND,Class III,-54.86353795537069,-19.20979158,36.55985271776914,0,0,0,-1,0
1537,2010,PA,Class III,-2.0169893814480417,3.71625088,-11.236563085758574,0,0,0,0,0
1542,2010,WA,Class III,4.729651697626612,10.01241237,12.530407088282578,1,0,1,0,0
1594,2006,MO,Class I,2.342842290451538,-4.48897138,2.0970897739460583,-1,0,-1,0,-1
1613,2006,WY,Class I,-40.18927117633332,-39.57601427,-53.9961604033042,-1,0,-1,0,-1
1589,2006,MD,Class I,10.172828827512939,15.85452984,26.467066730207982,0,0,0,0,1
1590,2006,MA,Class I,38.811341784328505,28.32772297,69.9311324806022,1,0,1,0,0
1588,2006,ME,Class I,-56.38129497789781,9.44614711,-37.88259680691541,-1,-1,-1,0,-1
1600,2006,NY,Class I,36.72755434067541,22.57494,12.480489386226107,1,0,1,0,-1
1597,2006,NV,Class I,-14.912782359428252,-1.49976198,-16.24527416437735,-1,0,-1,0,-1
1612,2006,WI,Class I,39.08721520473657,1.82429117,24.8601627327992,1,0,1,0,0
1605,2006,TN,Class I,-2.75901202671769,-9.43265928,-33.8001359909112,0,0,0,0,1
1582,2006,CA,Class I,25.851472726729558,12.34067251,20.832985806123098,1,0,1,0,0
1592,2006,MN,Class I,20.959828839130914,4.69998183,6.015135752056839,0,0,0,0,-1
1603,2006,PA,Class I,17.367516789846977,4.59542367,-7.0533355474706,-1,-1,-1,0,-1
1608,2006,VT,Class I,33.79845807251269,18.88530416,-44.10956816579995,0,0,0,0,1
1609,2006,VA,Class I,0.3983546573419765,-6.78499985,-4.578117931069263,-1,0,-1,-1,-1
1601,2006,ND,Class I,39.95516468356613,-26.86728659,22.745088492343648,1,1,1,0,0
1586,2006,HI,Class I,25.037526714562148,13.87930557,49.57013062789507,1,0,1,0,1
1593,2006,MS,Class I,-29.165163227740653,-17.4870056,-35.17441650473515,-1,0,-1,0,-1
1585,2006,FL,Class I,22.56718981061871,-1.89344314,4.989415847869165,1,1,1,0,0
1596,2006,NE,Class I,27.765584586605797,-31.10255959,2.1873326869926344,1,1,1,0,0
1598,2006,NJ,Class I,16.281109527464093,11.42737859,3.1031852591707194,1,0,1,0,1
1602,2006,OH,Class I,12.351464735021796,-1.14094393,-25.124431473851672,-1,0,-1,0,0
1606,2006,TX,Class I,-26.241151569922728,-21.16346574,-33.64904001947583,-1,0,-1,0,0
1583,2006,CT,Class I,67.56300748708215,14.66849375,29.822338503608908,1,0,1,0,0
1584,2006,DE,Class I,41.96112375728773,11.07399083,11.919915427930357,1,0,1,1,1
1591,2006,MI,Class I,15.94451443392731,5.54280157,1.657995708276174,1,0,1,0,1
1595,2006,MT,Class I,0.8992042976007755,-21.59197128,-3.39170012322614,-1,0,-1,0,0
1599,2006,NM,Class I,41.30109586145244,0.9759508,23.457686831471964,1,0,1,0,0
1604,2006,RI,Class I,7.037270807521176,25.99361048,-16.04880986207382,-1,-1,-1,0,0
1607,2006,UT,Class I,-33.49822090062339,-44.13173236,-35.08747986277248,-1,0,-1,0,0
1610,2006,WA,Class I,17.48111455722407,8.32123907,0.09300501325811707,1,0,1,0,1
1611,2006,WV,Class I,54.09804320252515,-9.33125139,58.82711348057883,1,1,1,0,1
12,2014,AK,Class II,-2.27049638,-22.16401365,1.3195095817157962,1,1,1,0,0
23,2014,CO,Class II,-2.05840587,1.62698213,10.81305764062457,1,0,1,0,0
24,2014,DE,Class II,13.87148223,15.94132474,29.373025162382515,1,0,1,0,0
17,2014,GA,Class II,-7.83187416,-12.09537758,-3.0267430728185207,0,0,0,0,0
26,2014,IA,Class II,-8.6989644,2.10695857,25.41562033228317,0,0,0,0,1
27,2014,ID,Class II,-30.65672393,-35.659654,-25.664120666546097,-1,0,-1,-1,0
4,2014,IL,Class II,11.2773088,14.83972926,40.791147218953114,1,0,1,0,1
15,2014,KY,Class II,-15.96057449,-25.96014357,-5.931239140369864,-1,0,-1,0,0
31,2014,MA,Class II,23.92023801,19.44411747,36.09121820499389,1,0,1,0,1
9,2014,ME,Class II,-36.9768401,11.3010148,-22.76702449537862,-1,-1,-1,0,0
2,2014,MI,Class II,13.84702192,6.89900566,29.860650468772437,0,0,0,0,1
6,2014,MN,Class II,10.66379046,3.6738646,0.01286626588798266,1,0,1,0,0
18,2014,MS,Class II,-22.50161833,-17.21698574,-22.87009252413342,-1,0,-1,0,0
5,2014,MT,Class II,-18.10618056,-15.25644322,45.8319550808319,0,0,0,0,-1
14,2014,NC,Class II,-1.62832794,-6.33483735,8.74587031926206,1,1,1,0,0
1,2014,NE,Class II,-34.28383256,-24.99413843,-17.89683309410198,0,0,0,0,0
8,2014,NH,Class II,3.25508549,1.95169843,6.544636845852141,1,0,0,1,0
10,2014,NJ,Class II,13.76275568,12.1275232,14.365711937866092,1,0,1,0,0
3,2014,NM,Class II,11.11762036,7.09564188,22.655982516845746,1,0,1,0,1
29,2014,OK,Class II,-40.86688127,-37.85942835,-18.250870761692838,-1,0,-1,0,-1
20,2014,OR,Class II,20.37041963,8.89765364,3.5478401079092525,1,0,1,0,0
33,2014,RI,Class II,41.40580796,23.09444401,46.808968494888035,1,0,1,0,1
11,2014,SC,Class II,-16.64029175,-15.17115093,-15.312761929245294,-1,0,-1,0,-1
22,2014,SD,Class II,-26.11370225,-20.24672198,24.983384689746842,0,0,0,-1,0
28,2014,TN,Class II,-32.00774884,-23.96597359,-34.61185922607494,-1,0,-1,-1,0
19,2014,TX,Class II,-28.35091383,-19.70706688,-12.270277839539455,-1,0,-1,0,0
16,2014,VA,Class II,0.83240711,-0.32197589,31.696699171270183,1,1,1,1,0
30,2014,WV,Class II,-28.63206901,-27.78699607,27.475651142356263,0,0,0,0,-1
13,2014,WY,Class II,-61.07227806,-44.34495135,-51.43245072633843,-1,0,-1,0,0
96,2018,AZ,Class I,2.40295749,-8.36180662,-3.1721173153280318,0,0,0,0,0
98,2018,CT,Class I,20.408577,12.57523049,12.006081697469337,1,0,1,0,1
99,2018,DE,Class I,22.63900799,11.48879867,39.283418390774436,1,0,1,1,1
100,2018,FL,Class I,-0.12251836,-3.32169744,13.345297340747944,1,1,1,-1,1
101,2018,HI,Class I,42.30219569,34.91158788,25.203085836142193,1,0,1,0,1
102,2018,IN,Class I,-6.16290322,-19.77378631,6.1106459245934035,1,1,1,0,1
105,2018,MA,Class I,25.03887918,24.62691842,7.554477975801374,1,0,1,0,0
104,2018,MD,Class I,36.30566322,24.78976928,36.02316963954084,1,0,1,0,1
103,2018,ME,Class I,21.31277978,4.54290392,26.48234834354132,1,0,1,1,0
106,2018,MI,Class I,6.63713831,0.22633144,21.50553871325623,1,0,1,0,1
107,2018,MN,Class I,24.96346661,0.93133472,36.23860405374483,1,0,1,0,0
109,2018,MO,Class I,-5.99663325,-19.09513611,16.715567491731388,1,1,1,0,0
108,2018,MS,Class I,-19.41285628,-18.7939932,-16.99449259042794,-1,0,-1,0,-1
110,2018,MT,Class I,3.65691584,-22.31388753,3.9790917137484754,1,1,1,0,0
116,2018,ND,Class I,-10.90541074,-36.00212727,0.9182518186765415,1,1,1,0,-1
111,2018,NE,Class I,-19.79502814,-28.2836252,-15.54886554430033,-1,0,-1,0,0
113,2018,NJ,Class I,11.54441059,12.88476774,19.840323838015877,1,0,1,0,1
114,2018,NM,Class I,27.83688334,6.94255596,5.9515888708755424,1,0,1,0,1
112,2018,NV,Class I,5.24754825,1.19820414,-1.280905043065674,-1,-1,-1,0,0
115,2018,NY,Class I,33.99933379,22.41283872,46.51511255351639,1,0,1,0,1
117,2018,OH,Class I,6.84734254,-7.50376418,6.289971418139652,1,1,1,0,1
118,2018,PA,Class I,13.34586897,-1.48448586,9.261954081514569,1,1,1,0,-1
119,2018,RI,Class I,23.15947411,17.61929315,29.91257165864601,1,0,1,0,0
120,2018,TN,Class I,-10.93720415,-27.8726712,-36.18641022453753,0,0,0,1,-1
121,2018,TX,Class I,-2.5874815,-14.38527875,-16.30909708156998,-1,0,-1,0,0
122,2018,UT,Class I,-33.8789401,-35.63071277,-37.0757732565835,0,0,0,-1,0
124,2018,VA,Class I,16.31990058,2.30146851,5.91538801810197,1,0,1,1,0
123,2018,VT,Class I,42.10799183,29.60865778,48.06836072464078,1,0,1,0,1
125,2018,WA,Class I,16.86751985,14.02482035,20.90198236342602,1,0,1,0,1
127,2018,WI,Class I,10.837125,-1.04518584,5.704300652835616,1,1,1,0,1
126,2018,WV,Class I,3.45374032,-41.50519077,24.834513060240212,1,1,1,1,0
128,2018,WY,Class I,-37.97819051,-51.19549107,-55.496518640696024,-1,0,-1,0,0
8917,2022,AL,Class III,-36.65298426,-30.56208077,-28.14048093566937,0,0,0,0,0
8920,2022,AR,Class III,-35.78288014,-32.24675519,-24.598667778419816,-1,0,-1,0,-1
8919,2022,AZ,Class III,4.99214759,-4.81116472,-13.7218303024624,1,1,1,0,0
8922,2022,CO,Class III,15.04724639,7.29444442,6.008906322746698,1,0,1,0,0
8923,2022,CT,Class III,14.91664993,14.60088341,29.211732267578704,1,0,1,0,0
8924,2022,FL,Class III,-16.58759499,-6.45330639,-7.9611565074616975,-1,0,-1,0,1
8925,2022,GA,Class III,0.97741402,-5.37037589,-14.350834098061535,1,1,1,0,0
8926,2022,HI,Class III,46.45313302,27.88114962,53.587288388181044,1,0,1,0,0
8930,2022,IA,Class III,-12.19684055,-12.72141784,-25.520530110127844,-1,0,-1,0,-1
8927,2022,ID,Class III,-35.72103182,-37.13399185,-40.91980428894684,-1,0,-1,0,-1
8928,2022,IL,Class III,15.58439786,13.78244879,15.93510275448512,1,0,1,0,1
8929,2022,IN,Class III,-21.5007215,-21.43269234,-10.261338057669214,-1,0,-1,0,-1
8931,2022,KS,Class III,-23.66328613,-21.14866801,-31.708562775825545,-1,0,-1,0,-1
8932,2022,KY,Class III,-23.61980649,-31.80465676,-14.549104429230916,-1,0,-1,0,0
8935,2022,MD,Class III,31.74305594,28.29574411,26.110518510414575,1,0,1,0,0
8936,2022,MO,Class III,-13.58010754,-20.75415365,-2.9215375759055466,0,0,0,0,0
8940,2022,NC,Class III,-3.29925322,-5.94720483,-5.907120107897773,0,0,0,0,-1
8941,2022,ND,Class III,-38.61430713,-39.91933132,-64.44460759121944,-1,0,-1,-1,0
8938,2022,NH,Class III,9.25227052,1.37962868,0.1435870791394941,1,0,1,1,0
8937,2022,NV,Class III,0.80185779,-1.28107827,2.646319389070401,1,1,1,0,0
8939,2022,NY,Class III,14.07506933,19.69646621,43.60541163834265,1,0,1,0,1
8942,2022,OH,Class III,-6.11445485,-12.05335039,-21.926677080806282,0,0,0,0,1
8943,2022,OK,Class III,-33.40665086,-39.21468323,-46.751914829634586,-1,0,-1,0,-1
8944,2022,OR,Class III,15.4085284,11.42054034,25.85164201625646,1,0,1,0,1
8945,2022,PA,Class III,5.03509554,-3.23222231,-1.4903603649758266,0,0,0,0,0
8946,2022,SC,Class III,-25.89648678,-16.63932865,-24.245946350276764,-1,0,-1,0,-1
8947,2022,SD,Class III,-45.39410722,-32.31793507,-43.65572315882875,-1,0,-1,0,-1
8949,2022,VT,Class III,41.90937869,30.77004763,29.946599972962012,0,0,0,0,1
8950,2022,WA,Class III,14.55058598,15.32564513,18.02602089157489,1,0,1,0,0
8951,2022,WI,Class III,-1.00912053,-3.61563171,-3.46652884846035,-1,0,-1,0,0
