test_cycle,arch,national_lambda,level_lambda,era_lambda,inner_rmse,top10
2014,full_local_era,0.0,4.0,1024.0,26.68859387101675,full_local_era@N0.0/L4.0/E1024.0:26.6886 | full_local_era@N0.0/L4.0/E16.0:26.6886 | full_local_era@N0.0/L4.0/E64.0:26.6886 | full_local_era@N0.0/L4.0/E256.0:26.6886 | full_local_era@N16.0/L4.0/E256.0:26.6886 | full_local_era@N64.0/L4.0/E1024.0:26.6886 | candidate_level@N16.0/L4.0/E256.0:26.6886 | candidate_era@N16.0/L4.0/E16.0:26.6886 | candidate_era@N16.0/L4.0/E64.0:26.6886 | candidate_era@N16.0/L4.0/E256.0:26.6886
2018,inc_era,64.0,4.0,64.0,20.02467131882606,inc_era@N64.0/L4.0/E64.0:20.0247 | inc_era@N16.0/L4.0/E64.0:20.0324 | inc_era@N16.0/L4.0/E256.0:20.0333 | inc_era@N4.0/L4.0/E256.0:20.0485 | inc_era@N0.0/L4.0/E256.0:20.0659 | inc_era@N4.0/L4.0/E64.0:20.0902 | inc_era@N64.0/L4.0/E256.0:20.1117 | inc_era@N0.0/L4.0/E64.0:20.1256 | inc_era@N256.0/L4.0/E64.0:20.1481 | inc_era@N4.0/L4.0/E1024.0:20.1718
2022,inc_era,64.0,4.0,64.0,16.91314383098061,inc_era@N64.0/L4.0/E64.0:16.9131 | inc_era@N256.0/L4.0/E64.0:17.0294 | inc_era@N64.0/L4.0/E16.0:17.0896 | inc_era@N16.0/L4.0/E64.0:17.2138 | inc_era@N64.0/L16.0/E64.0:17.3145 | inc_era@N16.0/L4.0/E16.0:17.3195 | inc_era@N256.0/L4.0/E16.0:17.3450 | inc_era@N64.0/L4.0/E256.0:17.3740 | inc_era@N256.0/L4.0/E256.0:17.4049 | inc_era@N256.0/L16.0/E64.0:17.4103
