cycle,state_abbrev,context,poll_count,multi_candidate_poll_count,third_names,poll_d_pct,poll_r_pct,poll_third_pct,poll_margin_dr,actual_d_all,actual_r_all,actual_third_share,actual_margin_dr,margin_error_actual_minus_poll,direction_correct
2014,AK,two_party_or_under3,2,0,,39.5,40.0,0.0,-0.5,46.05692040537463,48.196951150079705,5.746128444545661,-2.270496383213277,-1.7704963832132772,1
2014,AR,two_party_or_under3,2,0,,39.5,44.0,0.0,-4.5,39.45383707201889,56.531168831168834,4.014994096812279,-17.791666102906174,-13.291666102906174,1
2014,CO,two_party_or_under3,5,0,,44.4,43.6,0.0,0.7999999999999972,46.26046883528053,48.20495056975353,5.534580594965944,-2.0584058661040383,-2.8584058661040355,0
2014,DE,two_party_or_under3,2,0,,48.5,34.5,0.0,14.0,55.826404259137405,42.225194199232604,1.9484015416299918,13.871482233591019,-0.12851776640898116,1
2014,GA,two_party_or_under3,6,0,,42.166666666666664,46.333333333333336,0.0,-4.166666666666671,45.20635328617243,52.88906283771548,1.904583876112088,-7.831874164069302,-3.6652074974026307,1
2014,HI,two_party_or_under3,2,0,,61.0,27.5,0.0,33.5,69.76968347023806,27.70299682848372,2.527319701278217,43.15741242862487,9.657412428624873,1
2014,IA,two_party_or_under3,7,0,,44.142857142857146,44.285714285714285,0.0,-0.1428571428571388,43.80425469324971,52.15140321232973,4.044342094420555,-8.698964398007286,-8.556107255150147,1
2014,ID,two_party_or_under3,1,0,,25.0,59.0,0.0,-34.0,34.67163803554681,65.3283619644532,0.0,-30.656723928906374,3.3432760710936265,1
2014,IL,two_party_or_under3,3,0,,51.333333333333336,36.333333333333336,0.0,15.0,53.54868393922718,42.69498787157775,3.7563281891950617,11.277308796972688,-3.7226912030273116,1
2014,KS,major_independent_or_party_replacement,4,4,Greg Orman,6.75,37.5,40.25,-30.75,0.0,53.146476931762166,46.853523068237834,-100.0,-69.25,1
2014,KY,two_party_or_under3,2,0,,39.0,47.0,0.0,-8.0,40.72087406363259,56.18810364183894,3.091022294528466,-15.960574494155525,-7.960574494155525,1
2014,MA,two_party_or_under3,3,0,,51.666666666666664,28.666666666666668,0.0,22.999999999999996,61.95994043902205,38.039771362697536,0.00028819828041692686,23.92023801403914,0.9202380140391426,1
2014,ME,two_party_or_under3,2,0,,28.5,58.5,0.0,-30.0,31.511579951603206,68.48842004839679,0.0,-36.97684009679359,-6.9768400967935875,1
2014,MI,two_party_or_under3,4,0,,44.0,38.5,0.0,5.5,54.614383950648524,41.32907250403697,4.0565435453145025,13.84702192054782,8.34702192054782,1
2014,MN,two_party_or_under3,2,0,,49.0,38.5,0.0,10.5,53.17479591264875,42.92673050775832,3.898473579592931,10.663790458498124,0.16379045849812357,1
2014,MS,two_party_or_under3,1,0,,31.0,46.0,0.0,-15.0,37.89443197680492,59.89969265246305,2.2058753707320315,-22.501618332470223,-7.501618332470223,1
2014,MT,two_party_or_under3,1,0,,35.0,53.0,0.0,-18.0,40.06857278828422,57.786364398392756,2.145062813323022,-18.106180556131232,-0.1061805561312319,1
2014,NC,minor_third_3_to_15,7,5,Sean Haugh (L),44.142857142857146,39.714285714285715,5.6,4.428571428571431,47.32611833702396,48.892879153163165,3.7810025098128666,-1.6283279362778527,-6.056899364849283,0
2014,NE,two_party_or_under3,1,0,,30.0,56.0,0.0,-26.0,31.51136062649683,64.3900342846982,4.0986050888049625,-34.283832564319965,-8.283832564319965,1
2014,NH,two_party_or_under3,6,0,,48.666666666666664,42.833333333333336,0.0,5.833333333333329,51.62754274650536,48.37245725349464,0.0,3.2550854930107227,-2.578247840322606,1
2014,NJ,two_party_or_under3,3,0,,47.666666666666664,34.0,0.0,13.666666666666664,55.83559548229908,42.325872476310956,1.8385320413899713,13.762755678923343,0.09608901225667843,1
2014,NM,two_party_or_under3,2,0,,52.5,37.0,0.0,15.5,55.558810178737005,44.441189821262995,0.0,11.117620357474015,-4.382379642525985,1
2014,OR,two_party_or_under3,2,0,,46.5,36.5,0.0,10.0,55.98400215540646,37.03553259021297,6.980465254380575,20.370419629609927,10.370419629609927,1
2014,RI,two_party_or_under3,1,0,,52.0,32.0,0.0,20.0,70.70290397933992,29.297096020660074,0.0,41.40580795867985,21.40580795867985,1
2014,SC,two_party_or_under3,1,0,,29.0,42.0,0.0,-13.0,38.030783234722165,60.17750010343829,1.7917166618395466,-22.550762640314527,-9.550762640314527,1
2014,SD,major_independent_or_party_replacement,2,2,Larry Pressler,28.5,41.0,15.5,-12.5,29.510543570068574,50.37042074069832,20.119035689233105,-26.113702245101862,-13.613702245101862,1
2014,TN,two_party_or_under3,1,0,,32.0,47.0,0.0,-15.0,31.865159217358713,61.86657836419675,6.268262418444542,-32.00774883825659,-17.00774883825659,1
2014,TX,two_party_or_under3,1,0,,34.0,55.0,0.0,-21.0,34.364543350576696,61.56003905034853,4.07541759907477,-28.350913831561826,-7.350913831561826,1
2014,VA,two_party_or_under3,2,0,,52.0,35.0,0.0,17.0,49.189653774277744,48.37749787076518,2.432848354957074,0.8324071060998579,-16.167592893900142,1
2014,WV,two_party_or_under3,1,0,,32.0,55.0,0.0,-23.0,34.46413732755258,62.11744168362028,3.418420988827148,-28.632069012734494,-5.632069012734494,1
2014,WY,two_party_or_under3,1,0,,21.0,66.0,0.0,-45.0,17.49474448990287,72.3884730137745,10.116782496322632,-61.07227806083575,-16.07227806083575,1
2018,AZ,two_party_or_under3,4,0,,47.5,45.0,0.0,2.5,49.9557943017429,47.611298540289255,2.4329071579678465,2.402957486136784,-0.09704251386321605,1
2018,CA,major_independent_or_party_replacement,1,0,,44.0,24.0,0.0,20.0,100.0,0.0,0.0,100.0,80.0,1
2018,FL,two_party_or_under3,4,0,,43.75,44.5,0.0,-0.75,49.93247256869807,50.054975546412976,0.012551884888959164,-0.12251835607793257,0.6274816439220674,1
2018,IN,two_party_or_under3,1,0,,43.0,45.0,0.0,-2.0,44.8422279321728,50.7323997345092,4.425372333317999,-6.162903216195068,-4.162903216195068,1
2018,MA,two_party_or_under3,1,0,,54.0,24.0,0.0,30.0,60.399232183222885,36.20949076856004,3.3912770482170744,25.038879177334596,-4.9611208226654036,1
2018,MD,two_party_or_under3,1,0,,56.0,17.0,0.0,39.0,64.90247533002443,30.328307891389887,4.769216778585691,36.305663220524615,-2.6943367794753854,1
2018,MI,two_party_or_under3,1,0,,56.0,33.0,0.0,23.0,52.26189214709184,45.7562898384361,1.9818180144720505,6.637138311355607,-16.362861688644394,1
2018,MN,two_party_or_under3,2,0,,56.5,34.0,0.0,22.5,52.99322765929887,42.36925593183967,4.637516408861462,11.14061979867146,-11.35938020132854,1
2018,MO,two_party_or_under3,2,0,,44.5,43.0,0.0,1.5,45.56934089290825,51.38323105905976,3.0474280480319895,-5.99663324974175,-7.49663324974175,0
2018,MT,two_party_or_under3,1,0,,47.0,45.0,0.0,2.0,50.333872604999364,46.78241181322167,2.883715581778962,3.656915843777241,1.656915843777241,1
2018,ND,two_party_or_under3,1,0,,44.0,48.0,0.0,-4.0,44.54729462875198,55.45270537124802,0.0,-10.90541074249605,-6.90541074249605,1
2018,NM,two_party_or_under3,1,0,,47.0,26.0,0.0,21.0,54.087734500984205,30.532185959495674,15.380079539520123,27.83688334059555,6.8368833405955485,1
2018,NV,two_party_or_under3,2,0,,42.5,43.5,0.0,-1.0,51.218242758110385,46.11085157326962,2.670905668619994,5.247548248472789,6.247548248472789,0
2018,OH,two_party_or_under3,2,0,,51.0,37.0,0.0,14.0,53.41141418368777,46.56564264238257,0.022943173929662396,6.84734253901348,-7.15265746098652,1
2018,PA,two_party_or_under3,2,0,,52.5,36.5,0.0,16.0,55.74394139018645,42.6168403401605,1.6392182696530522,13.345868972466581,-2.6541310275334187,1
2018,RI,two_party_or_under3,2,0,,54.0,33.5,0.0,20.5,61.57973705632911,38.42026294367089,0.0,23.15947411265822,2.65947411265822,1
2018,TN,two_party_or_under3,3,0,,46.333333333333336,46.666666666666664,0.0,-0.3333333333333286,43.91997290238619,54.7070070507278,1.3730200468860028,-10.93720415394411,-10.603870820610782,1
2018,TX,two_party_or_under3,5,0,,45.0,48.2,0.0,-3.200000000000003,48.32535502239402,50.89260128373661,0.7820436938693723,-2.5874814972216487,0.6125185027783542,1
2018,UT,two_party_or_under3,1,0,,19.0,59.0,0.0,-40.0,30.9099564680303,62.58508585497936,6.5049576769903386,-33.87894010199687,6.121059898003132,1
2018,VA,two_party_or_under3,2,0,,53.0,37.5,0.0,15.5,57.089910849405065,41.07026735615531,1.8398217944396231,16.319900580969303,0.8199005809693034,1
2018,WI,two_party_or_under3,1,0,,53.0,42.0,0.0,11.0,55.41768676154819,44.5807330084832,0.0015802299686098603,10.837125004562045,-0.1628749954379547,1
