race_id,cycle,state_abbrev,d_candidate,r_candidate,d_quality_tier,r_quality_tier,d_wikidata_qid,r_wikidata_qid,d_prior_offices,r_prior_offices,incumbent_side,challenger_side,challenger_quality_tier
35,2014,OK,Constance N. Johnson,James Lankford,2,4,Q5163568,Q45940,,,,,0
20,2014,OR,Jeff Merkley,Monica Wehby,4,0,Q1368405,Q17026114,"federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Oregon House of Representatives[1999-01-01,2008-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,D,R,0
33,2014,RI,Jack Reed,Mark S. Zaccaria,4,0,Q528979,,"federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[2003-01-03,2005-01-03]",,D,R,0
11,2014,SC,Charles Bradley Hutto,Lindsey Graham,0,4,,Q22212,,"federal:United States senator[2003-01-03,2005-01-03] | state_legislative:member of the South Carolina House of Representatives[1992-01-01,1994-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03]",R,D,0
36,2014,SC,Joyce Dickerson,Tim Scott,0,4,Q18386001,Q561315,,"federal:United States senator[2013-01-02,2013-01-03] | state_legislative:member of the South Carolina House of Representatives[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03]",R,D,0
22,2014,SD,Richard P. Weiland,M. Michael Rounds,0,4,,,,,,,0
28,2014,TN,William Gordon Ball,Lamar Alexander,0,4,Q2579712,Q419976,,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2009-01-03,2011-01-03] | governor:Governor of Tennessee[1979-01-17,1987-01-17]",R,D,0
19,2014,TX,David M. Alameel,John Cornyn,0,4,,Q719568,,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2005-01-03,2007-01-03] | statewide:Texas Attorney General[1999-01-13,2002-12-01] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2002-12-02,2003-01-03]",R,D,0
16,2014,VA,Mark R. Warner,Ed W. Gillespie,4,0,Q453893,,"federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | governor:Governor of Virginia[2002-01-12,2006-01-14] | federal:United States senator[2013-01-03,2015-01-03]",,D,R,0
30,2014,WV,Natalie E. Tennant,Shelley Moore Capito,3,4,Q6968251,Q459618,"statewide:Secretary of State of West Virginia[2009-01-19,2017-01-18]","state_legislative:Member of the West Virginia House of Delegates[1996-12-01,2000-12-01]",,,0
13,2014,WY,Charlie Hardy,Michael B. Enzi,0,4,Q5084986,,,,R,D,0
96,2018,AZ,Kyrsten Sinema,Martha McSally,4,4,Q1556541,Q6774492,"state_legislative:member of the Arizona House of Representatives[2005-01-10,2011-01-10] | state_legislative:member of the State Senate of Arizona[2011-01-10,2012-01-03]",,,,0
98,2018,CT,Christopher S. Murphy,Matthew M. Corey,4,0,Q5112921,,,,D,R,0
99,2018,DE,Thomas R. Carper,Rob Arlett,4,0,,,,,D,R,0
100,2018,FL,Bill Nelson,Rick Scott,4,4,Q358437,Q439729,"federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the Florida House of Representatives[1972-01-01,1978-01-01] | federal:United States senator[2009-01-03,2011-01-03] | statewide:Florida State Treasurer/Insurance Commissioner/Fire Marshal[1995-01-03,2001-01-03] | federal:United States senator[2015-01-03,2017-01-03]","governor:Governor of Florida[2011-01-04,2019-01-07]",D,R,4
101,2018,HI,Mazie K. Hirono,Ronald C. Curtis,4,0,Q16476,,"state_legislative:member of the Hawaii House of Representatives[1981-01-03,1994-12-02] | statewide:Lieutenant Governor of Hawaii[1994-12-02,2002-12-02] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,D,R,0
102,2018,IN,Joe Donnelly,Mike Braun,4,2,Q1691395,Q42804470,"federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03]","state_legislative:member of the Indiana House of Representatives[2014-11-05,2017-11-05]",D,R,2
105,2018,MA,Elizabeth Ann Warren,Geoff Diehl,4,0,Q434706,Q5534116,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,D,R,0
104,2018,MD,Benjamin L. Cardin,Tony Campbell,4,0,,Q60733896,,,D,R,0
103,2018,ME,Angus S. King Jr.,Eric L. Brakey,4,0,Q544464,,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03] | governor:Governor of Maine[1995-01-05,2003-01-08] | federal:United States senator[2015-01-03,2017-01-03]",,D,R,0
106,2018,MI,Debbie Stabenow,John James,4,0,Q241092,Q11801728,"federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2017-01-03,2019-01-03] | state_legislative:member of the Michigan House of Representatives[1979-01-01,1990-01-01] | state_legislative:member of the State Senate of Michigan[1991-01-12,1994-01-14] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2013-01-03,2015-01-03] | local:county commissioner[1975-01-01,1978-01-01] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2015-01-03,2017-01-03]",,D,R,0
107,2018,MN,Amy Klobuchar,Jim Newberger,4,2,Q22237,,"federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03]",,D,R,2
129,2018,MN,Tina Smith,Karin Housley,4,2,Q18631509,Q16195595,"statewide:Lieutenant Governor of Minnesota[2015-01-05,2018-01-02] | federal:United States senator[2018-01-03,2019-01-03]","state_legislative:member of the State Senate of Minnesota[2013-01-08,]",D,R,2
109,2018,MO,Claire McCaskill,Josh Hawley,4,3,Q22260,Q23020745,"federal:United States senator[2017-01-03,2019-01-03] | statewide:State Auditor of Missouri[1998-01-01,2006-01-01] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the Missouri House of Representatives[1982-01-01,1988-01-01] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,D,R,3
