race_id,cycle,state_abbrev,d_candidate,r_candidate,d_quality_tier,r_quality_tier,d_wikidata_qid,r_wikidata_qid,d_prior_offices,r_prior_offices,incumbent_side,challenger_side,challenger_quality_tier
8930,2022,IA,Michael Franken,Chuck Grassley,0,4,Q133068947,Q529294,,"federal:United States senator[1985-01-03,1987-01-03] | federal:United States senator[1989-01-03,1991-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Iowa House of Representatives[1959-01-12,1975-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[1987-01-03,1989-01-03] | federal:United States senator[1993-01-03,1995-01-03] | federal:United States senator[1991-01-03,1993-01-03] | federal:United States senator[1983-01-03,1985-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[1995-01-03,1997-01-03] | federal:United States senator[1981-01-03,1983-01-03]",R,D,0
8927,2022,ID,David Roth,Mike Crapo,0,4,Q115208810,Q734319,,"federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03] | state_legislative:member of the State Senate of Idaho[1984-12-01,1992-12-01] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2019-01-03,2021-01-03]",R,D,0
8928,2022,IL,Tammy Duckworth,Kathy Salvi,4,0,Q3036410,Q113291059,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03]",,D,R,0
8929,2022,IN,Thomas McDermott,Todd Young,0,4,Q140376108,Q25483,,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2019-01-03,2021-01-03]",R,D,0
8931,2022,KS,Mark R. Holland,Jerry Moran,0,4,Q88684189,Q1365787,,"state_legislative:member of the State Senate of Kansas[1989-01-01,1997-01-01] | statewide:Kansas Attorney General[1982-01-01,1985-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2021-01-03,2023-01-03]",R,D,0
8932,2022,KY,Charles Booker,Rand Paul,2,4,Q24004614,Q463557,"state_legislative:Member of the Queensland Legislative Assembly[1912-04-27,1918-03-16] | state_legislative:Member of the Queensland Legislative Assembly[1909-10-02,1912-04-27]","federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2021-01-03,2023-01-03]",R,D,2
8935,2022,MD,Chris Van Hollen,Chris Chaffee,4,0,Q1077819,,"federal:United States senator[2021-01-03,2023-01-03] | state_legislative:member of the Maryland House of Delegates[1990-01-01,1994-01-01] | state_legislative:member of the State Senate of Maryland[1994-01-01,2002-01-01] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03]",,D,R,0
8936,2022,MO,Trudy Busch Valentine,Eric Schmitt,0,3,Q114713262,Q5387455,,"state_legislative:member of the State Senate of Missouri[2009-01-07,2017-01-04] | statewide:Missouri State Treasurer[2017-01-09,2019-01-03] | statewide:Missouri Attorney General[2019-01-03,2023-01-03]",,,0
8940,2022,NC,Cheri Beasley,Ted Budd,0,4,Q5091905,Q27733792,,,,,0
8941,2022,ND,Katrina Christiansen,John Hoeven,0,4,Q130234579,Q374762,,"federal:United States senator[2015-01-03,2017-01-03] | governor:Governor of North Dakota[2000-12-15,2010-12-07] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03]",R,D,0
8938,2022,NH,Maggie Hassan,Donald C. Bolduc,4,0,Q24053,Q63126446,"governor:Governor of New Hampshire[2013-01-03,2017-01-02] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2021-01-03,2023-01-03] | state_legislative:member of the State Senate of New Hampshire[2004-12-01,2010-12-01]",,D,R,0
8937,2022,NV,Catherine Cortez Masto,Adam Paul Laxalt,4,0,Q5052604,Q18739734,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2019-01-03,2021-01-03] | statewide:Nevada Attorney General[2007-01-01,2015-01-01] | federal:United States senator[2017-01-03,2019-01-03]",,D,R,0
8939,2022,NY,Charles E. Schumer,Joe Pinion,4,0,,Q111248925,,,D,R,0
8942,2022,OH,Tim Ryan,JD Vance,4,0,Q513960,Q28935729,"state_legislative:member of the State Senate of Ohio[2000-01-01,2002-01-01]",,,,0
9482,2022,OK,Kendra Horn,Markwayne Mullin,4,4,Q58323559,Q3448772,,,,,0
8943,2022,OK,Madison Horn,James Lankford,0,4,,Q45940,,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03]",R,D,0
8944,2022,OR,Ron Wyden,Jo Rae Perkins,4,0,Q529344,Q94977715,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[1996-02-06,1997-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2003-01-03,2005-01-03]",,D,R,0
8945,2022,PA,John Fetterman,Mehmet Oz,3,0,Q3181500,,"statewide:Lieutenant Governor of Pennsylvania[2019-01-15,2023-01-03]",,,,0
8946,2022,SC,Krystle Matthews,Tim Scott,2,4,Q96065881,Q561315,"state_legislative:member of the South Carolina House of Representatives[2018-11-12,2022-11-14]","federal:United States senator[2013-01-02,2013-01-03] | state_legislative:member of the South Carolina House of Representatives[2009-01-03,2011-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2019-01-03,2021-01-03]",R,D,2
8947,2022,SD,Brian L. Bengs,John R. Thune,0,4,Q113548135,Q462981,,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2007-01-03,2009-01-03]",R,D,0
8949,2022,VT,Peter Welch,Gerald Malloy,4,2,Q1112656,Q5549370,"state_legislative:member of the State Senate of Vermont[1981-01-01,1989-01-01] | state_legislative:member of the State Senate of Vermont[2002-01-01,1989-01-01] | state_legislative:member of the State Senate of Vermont[1981-01-01,2007-01-01] | state_legislative:member of the State Senate of Vermont[2002-01-01,2007-01-01]","state_legislative:member of the State Senate of South Carolina[2002-11-05,]",,,0
8950,2022,WA,Patty Murray,Tiffany Smiley,4,0,Q258825,,"federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[1995-01-03,1997-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[1993-01-03,1995-01-03] | state_legislative:member of the Washington State Senate[1989-01-09,1993-01-11] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2001-01-03,2003-01-03]",,D,R,0
8951,2022,WI,Mandela Barnes,Ron Johnson,3,4,Q6747952,Q7363984,"state_legislative:member of the Wisconsin State Assembly[2013-01-07,2017-01-03] | statewide:Lieutenant Governor of Wisconsin[2019-01-07,2023-01-03]",,R,D,3
