cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2014,MS,Travis W. Childers,4695,Q452865,MATCHED,9,Travis Childers,American politician,0,,,Travis Childers | https://en.wikipedia.org/wiki/Travis_Childers | 
2014,MS,Thad Cochran,1626,Q723896,MATCHED,25,Thad Cochran,United States Senator from Mississippi (1937-2019),2,"federal:United States senator[1979-01-03,1981-01-03] | federal:United States senator[1989-01-03,1991-01-03] | federal:United States senator[1995-01-03,1997-01-03] | federal:United States senator[1983-01-03,1985-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[1993-01-03,1995-01-03] | federal:United States senator[1991-01-03,1993-01-03] | federal:United States senator[1985-01-03,1987-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[1978-12-27,1979-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[1987-01-03,1989-01-03] | federal:United States senator[1981-01-03,1983-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,Thad Cochran | https://en.wikipedia.org/wiki/Thad_Cochran | tier2:house of representatives:1973; tier2:house of representatives:1972
2014,MT,Amanda G. Curtis,6351,Q13562395,MATCHED,11,Amanda Curtis,Montana state legislator,2,,state_legislative:member of the Montana House of Representatives,Amanda Curtis | https://en.wikipedia.org/wiki/Amanda_Curtis | tier2:house of representatives:2013
2014,MT,Steve Daines,3105,Q3200900,MATCHED,23,Steve Daines,American politician and businessman (born 1962),3,,,Steve Daines | https://en.wikipedia.org/wiki/Steve_Daines | tier2:house of representatives:2013; tier3:lieutenant governor:2008
2014,NC,Kay R. Hagan,1636,Q261003,MATCHED,9,Kay Hagan,American politician (1953-2019),0,"federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03]",,Kay Hagan | https://en.wikipedia.org/wiki/Kay_Hagan | 
2014,NC,Thomas Roland Tillis,4539,,NO_CONFIDENT_MATCH,8,,,0,,,NO_MATCH
2014,NE,Dave Domina,4653,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2014,NE,Ben Sasse,4659,Q16192221,MATCHED,23,Ben Sasse,American politician and college president (born 1972),0,,,NO_MATCH
2014,NH,Jeanne Shaheen,1649,Q270316,MATCHED,25,Jeanne Shaheen,United States Senator from New Hampshire,2,"governor:Governor of New Hampshire[1997-01-09,2003-01-09] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the State Senate of New Hampshire[1992-12-02,1996-12-04]",,
2014,NH,Scott Brown,976,Q155125,MATCHED,23,Scott Brown,American diplomat and politician (born 1959),2,"federal:United States senator[2010-02-04,2011-01-03] | state_legislative:member of the Massachusetts House of Representatives[1998-01-07,2004-03-25] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the State Senate of Massachusetts[2004-03-25,2010-02-04]",,
2014,NJ,Cory A. Booker,2713,Q1135767,MATCHED,11,Cory Booker,American politician (born 1969),1,"local:Mayor of Newark, New Jersey[2006-07-01,2013-10-31] | federal:United States senator[2013-10-31,2015-01-03]",,
2014,NJ,Jeff Bell,4686,Q18021983,MATCHED,19,Jeff Bell,American businessman,0,,,NO_MATCH
2014,NM,Tom Udall,1662,Q957690,MATCHED,23,Tom Udall,American politician and diplomat (born 1948),3,"statewide:Attorney General of New Mexico[1991-01-01,1999-01-01] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2014,NM,Allen E. Weh,4671,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2014,OK,Matt Silverstein,4648,Q19011727,MATCHED,19,Matt Silverstein,American screenwriter,0,,,NO_MATCH
2014,OK,James M. Inhofe,1663,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2014,OK,Constance N. Johnson,4642,Q5163568,MATCHED,23,Constance N. Johnson,American politician,2,,,Constance N. Johnson | https://en.wikipedia.org/wiki/Constance_N._Johnson | tier2:state senate:2005
2014,OK,James Lankford,2881,Q45940,MATCHED,23,James Lankford,American politician (born 1968),2,,,James Lankford | https://en.wikipedia.org/wiki/James_Lankford | tier2:house of representatives:2011
