target_race_id,target_cycle,target_state,side,candidate_name,politician_id,prior_statewide_count,prior_senate_count,prior_governor_count,mean_own_party_overperf_vs_pvi_pctpt,mean_own_party_overperf_cycle_adjusted_pctpt,latest_prior_statewide_cycle,personal_vote_finalized
104,2018,MD,D,Benjamin L. Cardin,981,2,2,0,6.40194224,-5.38478312,2012,false
104,2018,MD,R,Tony Campbell,9207,0,0,0,,,,false
103,2018,ME,D,Angus S. King Jr.,1187,1,1,0,15.74801245,6.34504726,2012,false
103,2018,ME,R,Eric L. Brakey,8680,0,0,0,,,,false
106,2018,MI,D,Debbie Stabenow,984,2,2,0,11.83633427,0.22754021,2012,false
106,2018,MI,R,John James,8689,0,0,0,,,,false
107,2018,MN,D,Amy Klobuchar,992,2,2,0,24.22545300,13.00677159,2012,false
107,2018,MN,R,Jim Newberger,9092,0,0,0,,,,false
129,2018,MN,D,Tina Smith,9090,0,0,0,,,,false
129,2018,MN,R,Karin Housley,9091,0,0,0,,,,false
109,2018,MO,D,Claire McCaskill,997,2,2,0,15.07448300,3.56508175,2012,false
109,2018,MO,R,Josh Hawley,8690,0,0,0,,,,false
108,2018,MS,D,David Baria,8693,0,0,0,,,,false
108,2018,MS,R,Roger F. Wicker,1001,2,2,0,-5.07271868,5.79465356,2012,false
110,2018,MT,D,Jon Tester,1002,2,2,0,19.54466819,8.18285305,2012,false
110,2018,MT,R,Matt Rosendale,3291,0,0,0,,,,false
116,2018,ND,D,Heidi Heitkamp,1005,1,1,0,20.12804339,10.86195417,2012,false
116,2018,ND,R,Kevin Cramer,3110,0,0,0,,,,false
111,2018,NE,D,Jane Raybould,8552,0,0,0,,,,false
111,2018,NE,R,Deb Fischer,1007,1,1,0,-9.88855519,-0.30248196,2012,false
113,2018,NJ,D,Bob Menendez,1012,2,2,0,8.02645760,-3.70419146,2012,false
113,2018,NJ,R,Bob Hugin,8553,0,0,0,,,,false
114,2018,NM,D,Martin Heinrich,707,1,1,0,0.06686295,-9.82613817,2012,false
114,2018,NM,R,Mick Rich,8556,0,0,0,,,,false
112,2018,NV,D,Jacky S. Rosen,8322,0,0,0,,,,false
112,2018,NV,R,Dean Heller,1021,1,1,0,4.84750253,14.89407757,2012,false
115,2018,NY,D,Kirsten E. Gillibrand,748,2,2,0,17.25241662,15.92817764,2012,false
115,2018,NY,R,Chele Farley,8584,0,0,0,,,,false
117,2018,OH,D,Sherrod Brown,1025,2,2,0,10.73791146,-0.90365050,2012,false
117,2018,OH,R,Jim Renacci,2964,0,0,0,,,,false
118,2018,PA,D,Robert P. Casey Jr.,1032,2,2,0,9.15889817,-2.53237102,2012,false
118,2018,PA,R,Lou Barletta,2718,0,0,0,,,,false
119,2018,RI,D,Sheldon Whitehouse,1038,2,2,0,-5.46420542,-17.62843875,2012,false
119,2018,RI,R,Bob Flanders,9190,0,0,0,,,,false
120,2018,TN,D,Phil Bredesen,8671,1,0,1,48.94619807,41.47687622,2006,false
