race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
1517,2010,ID,Class III,2008,2004,-33.34749864,-36.22706696,-34.29775619
1518,2010,IL,Class III,2008,2004,18.17020905,12.83567751,16.40981364
1519,2010,IL,Class III,2008,2004,18.17020905,12.83567751,16.40981364
1520,2010,IN,Class III,2008,2004,-6.25441214,-18.42854309,-10.27187536
1522,2010,KS,Class III,2008,2004,-22.52287067,-23.31578816,-22.78453344
1523,2010,KY,Class III,2008,2004,-23.76517421,-17.59683042,-21.72962076
1524,2010,LA,Class III,2008,2004,-26.21266736,-12.24347313,-21.60283326
1526,2010,MA,Class I,2008,2004,19.09583739,27.90412043,22.00257080
1525,2010,MD,Class III,2008,2004,18.56185555,15.54957782,17.56780390
1527,2010,MO,Class III,2008,2004,-7.43347733,-4.82101592,-6.57136507
1532,2010,NC,Class III,2008,2004,-6.96639243,-10.06553460,-7.98910935
1533,2010,ND,Class III,2008,2004,-16.11563160,-25.40029889,-19.17957181
1529,2010,NH,Class III,2008,2004,2.43876321,3.79898665,2.88763694
1528,2010,NV,Class III,2008,2004,5.47515722,-0.21678204,3.59681726
1530,2010,NY,Class III,2008,2004,19.85504317,20.99394081,20.23087939
1531,2010,NY,Class I,2008,2004,19.85504317,20.99394081,20.23087939
1534,2010,OH,Class III,2008,2004,-2.63063751,0.30092140,-1.66322307
1535,2010,OK,Class III,2008,2004,-38.58848128,-28.72239392,-35.33267245
1536,2010,OR,Class III,2008,2004,9.52912332,6.63566095,8.57428074
1537,2010,PA,Class III,2008,2004,3.16108860,4.93497360,3.74647065
1538,2010,SC,Class III,2008,2004,-16.38717741,-14.85230780,-15.88067044
1539,2010,SD,Class III,2008,2004,-15.88973350,-19.40817220,-17.05081827
1540,2010,UT,Class III,2008,2004,-36.35104178,-44.27446891,-38.96577273
1541,2010,VT,Class III,2008,2004,30.50004444,23.02041368,28.03176629
1542,2010,WA,Class III,2008,2004,10.20573457,9.71148477,10.04263214
1544,2010,WI,Class III,2008,2004,6.81303746,2.80201595,5.48940036
1543,2010,WV,Class I,2008,2004,-20.64580657,-10.54101185,-17.31122431
1473,2012,AZ,Class I,2008,2004,-15.92612047,-8.13160065,-13.35392893
1474,2012,CA,Class I,2008,2004,17.25858015,12.50105031,15.68859530
1475,2012,CT,Class I,2008,2004,15.33835746,12.96830453,14.55624000
1476,2012,DE,Class I,2008,2004,17.97795827,10.08142190,15.37210126
1477,2012,FL,Class I,2008,2004,-4.45899897,-2.62894975,-3.85508273
1478,2012,HI,Class I,2008,2004,38.68913272,11.22730541,29.62672971
1479,2012,IN,Class I,2008,2004,-6.25441214,-18.42854309,-10.27187536
1482,2012,MA,Class I,2008,2004,19.09583739,27.90412043,22.00257080
1481,2012,MD,Class I,2008,2004,18.56185555,15.54957782,17.56780390
1480,2012,ME,Class I,2008,2004,10.36073093,11.58444223,10.76455566
1483,2012,MI,Class I,2008,2004,9.44428412,5.87009834,8.26480281
1484,2012,MN,Class I,2008,2004,3.16043096,5.94023063,4.07776485
1486,2012,MO,Class I,2008,2004,-7.43347733,-4.82101592,-6.57136507
1485,2012,MS,Class I,2008,2004,-20.58218102,-17.43041941,-19.54209969
