race_id,cycle,state_abbrev,side,candidate_name,auto_governor_experience,match_status,match_score,second_score,matched_nga_name,identity_suffix_mismatch,nga_prior_governor,final_governor_experience,source,nga_terms
28,2014,TN,D,William Gordon Ball,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
28,2014,TN,R,Lamar Alexander,0,ACCEPTED,1.0000,0.7333,Lamar Alexander,false,1,1,NGA_or_election_history,Tennessee:1979-1987
19,2014,TX,D,David M. Alameel,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
19,2014,TX,R,John Cornyn,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
16,2014,VA,D,Mark R. Warner,1,ACCEPTED,1.0000,0.5806,Mark R. Warner,false,1,1,NGA_or_election_history,Virginia:2002-2006
16,2014,VA,R,Ed W. Gillespie,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
30,2014,WV,D,Natalie E. Tennant,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
30,2014,WV,R,Shelley Moore Capito,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
13,2014,WY,D,Charlie Hardy,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
13,2014,WY,R,Michael B. Enzi,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
96,2018,AZ,D,Kyrsten Sinema,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
96,2018,AZ,R,Martha McSally,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
98,2018,CT,D,Christopher S. Murphy,0,AMBIGUOUS,0.5806,0.5714,,false,,0,election_history_fallback,
98,2018,CT,R,Matthew M. Corey,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
99,2018,DE,D,Thomas R. Carper,1,ACCEPTED,1.0000,0.0000,Thomas R. Carper,false,1,1,NGA_or_election_history,Delaware:1993-2001
99,2018,DE,R,Rob Arlett,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
100,2018,FL,D,Bill Nelson,0,AMBIGUOUS,0.6429,0.6087,,false,,0,election_history_fallback,
100,2018,FL,R,Rick Scott,1,ACCEPTED,1.0000,0.6087,Rick Scott,false,1,1,NGA_or_election_history,Florida:2015-2019;Florida:2011-2015
101,2018,HI,D,Mazie K. Hirono,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
101,2018,HI,R,Ronald C. Curtis,0,AMBIGUOUS,0.6667,0.5000,,false,,0,election_history_fallback,
102,2018,IN,D,Joe Donnelly,0,AMBIGUOUS,0.5714,0.0000,,false,,0,election_history_fallback,
102,2018,IN,R,Mike Braun,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
105,2018,MA,D,Elizabeth Ann Warren,0,AMBIGUOUS,0.5806,0.5000,,false,,0,election_history_fallback,
105,2018,MA,R,Geoff Diehl,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
104,2018,MD,D,Benjamin L. Cardin,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
104,2018,MD,R,Tony Campbell,0,AMBIGUOUS,0.6667,0.6452,,false,,0,election_history_fallback,
103,2018,ME,D,Angus S. King Jr.,1,ACCEPTED,1.0000,0.6875,Angus S. King,true,1,1,election_history_fallback_identity_suffix_mismatch,Maine:1995-2003
103,2018,ME,R,Eric L. Brakey,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
106,2018,MI,D,Debbie Stabenow,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
106,2018,MI,R,John James,0,AMBIGUOUS,0.5714,0.4828,,false,,0,election_history_fallback,
107,2018,MN,D,Amy Klobuchar,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
107,2018,MN,R,Jim Newberger,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
129,2018,MN,D,Tina Smith,0,AMBIGUOUS,0.7273,0.6957,,false,,0,election_history_fallback,
129,2018,MN,R,Karin Housley,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
109,2018,MO,D,Claire McCaskill,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
109,2018,MO,R,Josh Hawley,0,AMBIGUOUS,0.8000,0.6875,,false,,0,election_history_fallback,
108,2018,MS,D,David Baria,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
108,2018,MS,R,Roger F. Wicker,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
110,2018,MT,D,Jon Tester,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
110,2018,MT,R,Matt Rosendale,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
116,2018,ND,D,Heidi Heitkamp,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
116,2018,ND,R,Kevin Cramer,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
111,2018,NE,D,Jane Raybould,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
111,2018,NE,R,Deb Fischer,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
113,2018,NJ,D,Bob Menendez,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
113,2018,NJ,R,Bob Hugin,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
114,2018,NM,D,Martin Heinrich,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
114,2018,NM,R,Mick Rich,0,AMBIGUOUS,0.4167,0.0000,,false,,0,election_history_fallback,
112,2018,NV,D,Jacky S. Rosen,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
112,2018,NV,R,Dean Heller,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
115,2018,NY,D,Kirsten E. Gillibrand,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
115,2018,NY,R,Chele Farley,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
117,2018,OH,D,Sherrod Brown,0,AMBIGUOUS,0.6667,0.6452,,false,,0,election_history_fallback,
117,2018,OH,R,Jim Renacci,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
118,2018,PA,D,Robert P. Casey Jr.,0,ACCEPTED,1.0000,0.0000,Robert P. Casey,true,1,0,election_history_fallback_identity_suffix_mismatch,Pennsylvania:1987-1995
118,2018,PA,R,Lou Barletta,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
119,2018,RI,D,Sheldon Whitehouse,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
119,2018,RI,R,Bob Flanders,0,AMBIGUOUS,0.5263,0.0000,,false,,0,election_history_fallback,
120,2018,TN,D,Phil Bredesen,1,ACCEPTED,1.0000,0.0000,Phil Bredesen,false,1,1,NGA_or_election_history,Tennessee:2003-2011
120,2018,TN,R,Marsha Blackburn,0,AMBIGUOUS,0.6111,0.0000,,false,,0,election_history_fallback,
121,2018,TX,D,Beto O'Rourke,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
121,2018,TX,R,Ted Cruz,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
122,2018,UT,D,Jenny Wilson,0,AMBIGUOUS,0.6957,0.6429,,false,,0,election_history_fallback,
122,2018,UT,R,Mitt Romney,1,ACCEPTED,1.0000,0.5000,Mitt Romney,false,1,1,NGA_or_election_history,Massachusetts:2003-2007
124,2018,VA,D,Timothy Michael Kaine,1,AMBIGUOUS,0.6000,0.0000,,false,,1,election_history_fallback,
124,2018,VA,R,Corey Stewart,0,AMBIGUOUS,0.6061,0.5405,,false,,0,election_history_fallback,
123,2018,VT,D,Bernie Sanders,0,AMBIGUOUS,0.6061,0.6061,,false,,0,election_history_fallback,
123,2018,VT,R,Lawrence Zupan,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
125,2018,WA,D,Maria Cantwell,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
125,2018,WA,R,Susan Hutchison,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
127,2018,WI,D,Tammy Baldwin,0,AMBIGUOUS,0.6471,0.6429,,false,,0,election_history_fallback,
127,2018,WI,R,Leah Vukmir,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
126,2018,WV,D,"Joe Manchin, III",1,ACCEPTED,1.0000,0.0000,Joe Manchin III,false,1,1,NGA_or_election_history,West Virginia:2005-2010
126,2018,WV,R,Patrick Morrisey,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
