race_id,cycle,state_abbrev,state,seat,special,d_side_candidate,r_side_candidate,d_votes,r_votes,total_valid_candidate_votes,dr_votes,margin_d_minus_r_total_pctpt,margin_d_minus_r_two_party_pctpt,direction_actual,alignment_rule,ranked_choice_round_used,same_seat_exact6_available,same_seat_exact6_cycle,same_seat_exact6_race_id,same_seat_exact6_margin_total_pctpt,same_seat_exact6_margin_two_party_pctpt,same_seat_last_prior_available,same_seat_last_prior_cycle,same_seat_last_prior_year_gap,same_seat_last_prior_race_id,same_seat_last_prior_margin_total_pctpt,same_seat_last_prior_margin_two_party_pctpt,pvi_recent_pres_year,pvi_older_pres_year,pvi_lean_recent_pctpt,pvi_lean_older_pctpt,pvi_default_067_033_pctpt,d_senate_experience,r_senate_experience,SenateExperienceDiff,d_house_experience,r_house_experience,HouseExperienceDiff,d_incumbency,r_incumbency,IncumbencyDiff,d_governor_experience,r_governor_experience,GovernorExperienceDiff,d_outparty_incumbent,r_outparty_incumbent,OutPartyIncumbent
5,2014,MT,Montana,Class II,false,Amanda G. Curtis,Steve Daines,148184,213709,369826,361893,-17.71779161,-18.10618056,R,ballot_party_DEM_REP,,true,2008,1564,45.83195508,45.83195508,true,2008,6,1564,45.83195508,45.83195508,2012,2008,-17.98507493,-9.71649399,-15.25644322,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
14,2014,NC,North Carolina,Class II,false,Kay R. Hagan,Thomas Roland Tillis,1377651,1423259,2915281,2800910,-1.56444610,-1.62832794,R,ballot_party_DEM_REP,,true,2008,1569,8.46918401,8.74587032,true,2008,6,1569,8.46918401,8.74587032,2012,2008,-5.98468101,-7.04576082,-6.33483735,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,2014,NE,Nebraska,Class II,false,Dave Domina,Ben Sasse,170127,347636,540337,517763,-32.85153525,-34.28383256,R,ballot_party_DEM_REP,,true,2008,1565,-17.46322764,-17.89683309,true,2008,6,1565,-17.46322764,-17.89683309,2012,2008,-26.17539174,-22.59583626,-24.99413843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,NH,New Hampshire,Class II,false,Jeanne Shaheen,Scott Brown,251184,235347,488159,486531,3.24422985,3.25508549,D,ballot_party_DEM_REP,,true,2008,1566,6.33791363,6.54463685,true,2008,6,1566,6.33791363,6.54463685,2012,2008,1.75089275,2.35939482,1.95169843,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
10,2014,NJ,New Jersey,Class II,false,Cory A. Booker,Jeff Bell,1043866,791297,1869535,1835163,13.50972301,13.76275568,D,ballot_party_DEM_REP,,true,2008,1567,14.07611606,14.36571194,true,2013,1,1471,10.90401651,11.02031885,2012,2008,13.98731990,8.35157232,12.12752320,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3,2014,NM,New Mexico,Class II,false,Tom Udall,Allen E. Weh,286409,229097,515506,515506,11.11762036,11.11762036,D,ballot_party_DEM_REP,,true,2008,1568,22.65598252,22.65598252,true,2008,6,1568,22.65598252,22.65598252,2012,2008,6.67379809,7.95211262,7.09564188,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
29,2014,OK,Oklahoma,Class II,false,Matt Silverstein,James M. Inhofe,234307,558166,820733,792473,-39.45972685,-40.86688127,R,ballot_party_DEM_REP,,true,2008,1570,-17.49596642,-18.25087076,true,2008,6,1570,-17.49596642,-18.25087076,2012,2008,-37.46125069,-38.66784967,-37.85942835,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0
35,2014,OK,Oklahoma,Class III,true,Constance N. Johnson,James Lankford,237923,557002,820890,794925,-38.86988512,-40.13951002,R,ballot_party_DEM_REP,,false,,,,,true,2010,4,1535,-44.50352013,-45.98901144,2012,2008,-37.46125069,-38.66784967,-37.85942835,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
20,2014,OR,Oregon,Class II,false,Jeff Merkley,Monica Wehby,814537,538847,1461618,1353384,18.86197351,20.37041963,D,ballot_party_DEM_REP,,true,2008,1571,3.35122297,3.54784011,true,2008,6,1571,3.35122297,3.54784011,2012,2008,8.62572315,9.44975493,8.89765364,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
33,2014,RI,Rhode Island,Class II,false,Jack Reed,Mark S. Zaccaria,223675,92684,316898,316359,41.33538236,41.40580796,D,ballot_party_DEM_REP,,true,2008,1572,46.59626446,46.80896849,true,2008,6,1572,46.59626446,46.80896849,2012,2008,24.11688075,21.01858760,23.09444401,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
11,2014,SC,South Carolina,Class II,false,Charles Bradley Hutto,Lindsey Graham,480933,672941,1240075,1153874,-15.48357962,-16.64029175,R,ballot_party_DEM_REP,,true,2008,1573,-15.27777407,-15.31276193,true,2008,6,1573,-15.27777407,-15.31276193,2012,2008,-14.53312061,-16.46654580,-15.17115093,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0
36,2014,SC,South Carolina,Class III,true,Joyce Dickerson,Tim Scott,459583,727215,1208982,1186798,-22.13697144,-22.55076264,R,ballot_party_DEM_REP,,false,,,,,true,2010,4,1538,-33.83189490,-37.96024908,2012,2008,-14.53312061,-16.46654580,-15.17115093,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0
22,2014,SD,South Dakota,Class II,false,Richard P. Weiland,M. Michael Rounds,82456,140741,279412,223197,-20.85987717,-26.11370225,R,ballot_party_DEM_REP,,true,2008,1574,24.98338469,24.98338469,true,2008,6,1574,24.98338469,24.98338469,2012,2008,-22.35360948,-15.96910189,-20.24672198,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
28,2014,TN,Tennessee,Class II,false,William Gordon Ball,Lamar Alexander,437848,850087,1374065,1287935,-30.00141915,-32.00774884,R,ballot_party_DEM_REP,,true,2008,1575,-33.50020725,-34.61185923,true,2008,6,1575,-33.50020725,-34.61185923,2012,2008,-24.61875426,-22.64063102,-23.96597359,0,1,-1,0,0,0,0,1,-1,0,1,-1,0,0,0
19,2014,TX,Texas,Class II,false,David M. Alameel,John Cornyn,1597387,2861531,4648358,4458918,-27.19549570,-28.35091383,R,ballot_party_DEM_REP,,true,2008,1576,-11.98300067,-12.27027784,true,2008,6,1576,-11.98300067,-12.27027784,2012,2008,-19.93240564,-19.24956092,-19.70706688,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
16,2014,VA,Virginia,Class II,false,Mark R. Warner,Ed W. Gillespie,1073667,1055940,2184473,2129607,0.81150007,0.83240711,D,ballot_party_DEM_REP,,true,2008,1577,31.30400676,31.69669917,true,2008,6,1577,31.30400676,31.69669917,2012,2008,0.01814217,-1.01251861,-0.32197589,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
30,2014,WV,West Virginia,Class II,false,Natalie E. Tennant,Shelley Moore Capito,156360,281820,453689,438180,-27.65330436,-28.63206901,R,ballot_party_DEM_REP,,true,2008,1578,27.47099563,27.47565114,true,2008,6,1578,27.47099563,27.47565114,2012,2008,-31.26520647,-20.72517495,-27.78699607,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
13,2014,WY,Wyoming,Class II,false,Charlie Hardy,Michael B. Enzi,29377,121554,171153,150931,-53.85649098,-61.07227806,R,ballot_party_DEM_REP,,true,2008,1579,-51.36456179,-51.43245073,true,2008,6,1579,-51.36456179,-51.43245073,2012,2008,-46.23787923,-40.50173413,-44.34495135,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
96,2018,AZ,Arizona,Class I,false,Kyrsten Sinema,Martha McSally,1191100,1135200,2384308,2326300,2.34449576,2.40295749,D,ballot_party_DEM_REP,,true,2012,1473,-3.02729491,-3.17211732,true,2012,6,1473,-3.02729491,-3.17211732,2016,2012,-6.00670742,-13.14337165,-8.36180662,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
98,2018,CT,Connecticut,Class I,false,Christopher S. Murphy,Matthew M. Corey,825579,545717,1386840,1371296,20.17983329,20.40857700,D,ballot_party_DEM_REP,,true,2012,1475,11.75262806,12.00608170,true,2012,6,1475,11.75262806,12.00608170,2016,2012,12.05643441,13.62854375,12.57523049,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
99,2018,DE,Delaware,Class I,false,Thomas R. Carper,Rob Arlett,217385,137127,362606,354512,22.13366574,22.63900799,D,ballot_party_DEM_REP,,true,2012,1476,37.46565367,39.28341839,true,2012,6,1476,37.46565367,39.28341839,2016,2012,9.77058227,14.97729863,11.48879867,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0
100,2018,FL,Florida,Class I,false,Bill Nelson,Rick Scott,4089472,4099505,8190005,8188977,-0.12250298,-0.12251836,R,ballot_party_DEM_REP,,true,2012,1477,13.00599540,13.34529734,true,2012,6,1477,13.00599540,13.34529734,2016,2012,-3.46433157,-3.03210693,-3.32169744,1,0,1,1,0,1,1,0,1,0,1,-1,1,0,1
101,2018,HI,Hawaii,Class I,false,Mazie K. Hirono,Ronald C. Curtis,276316,112035,398657,388351,41.20860790,42.30219569,D,ballot_party_DEM_REP,,true,2012,1478,24.81820116,25.20308584,true,2012,6,1478,24.81820116,25.20308584,2016,2012,32.65601428,39.49108580,34.91158788,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
102,2018,IN,Indiana,Class I,false,Joe Donnelly,Mike Braun,1023553,1158000,2282565,2181553,-5.89017180,-6.16290322,R,ballot_party_DEM_REP,,true,2012,1479,5.76383285,6.11064592,true,2012,6,1479,5.76383285,6.11064592,2016,2012,-22.46127967,-14.31736040,-19.77378631,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
105,2018,MA,Massachusetts,Class I,false,Elizabeth Ann Warren,Geoff Diehl,1633371,979210,2752665,2612581,23.76464263,25.03887918,D,ballot_party_DEM_REP,,true,2012,1482,7.48377298,7.55447798,true,2012,6,1482,7.48377298,7.55447798,2016,2012,27.07589676,19.65475029,24.62691842,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
104,2018,MD,Maryland,Class I,false,Benjamin L. Cardin,Tony Campbell,1491614,697017,2299889,2188631,34.54936303,36.30566322,D,ballot_party_DEM_REP,,true,2012,1481,29.64935893,36.02316964,true,2012,6,1481,29.64935893,36.02316964,2016,2012,25.80583875,22.72684037,24.78976928,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
103,2018,ME,Maine,Class I,false,Angus S. King Jr.,Eric L. Brakey,344575,223502,646064,568077,18.74009386,21.31277978,D,manual_alignment_hypothesis_A,1,true,2012,1480,21.41254553,26.48234834,true,2012,6,1480,21.41254553,26.48234834,2016,2012,0.96692164,11.80323158,4.54290392,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
106,2018,MI,Michigan,Class I,false,Debbie Stabenow,John James,2214478,1938818,4237271,4153296,6.50560231,6.63713831,D,ballot_party_DEM_REP,,true,2012,1483,20.81360557,21.50553871,true,2012,6,1483,20.81360557,21.50553871,2016,2012,-2.46199706,5.68445294,0.22633144,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
107,2018,MN,Minnesota,Class I,false,Amy Klobuchar,Jim Newberger,1566174,940437,2596879,2506611,24.09573184,24.96346661,D,ballot_party_DEM_REP,,true,2012,1484,34.70099082,36.23860405,true,2012,6,1484,34.70099082,36.23860405,2016,2012,-0.56327321,3.96584172,0.93133472,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
