test_cycle,race_id,state_abbrev,actual,predicted,error
2010,1519,IL,-1.6928822334839642,30.16526979896074,31.858152032444703
2010,1516,HI,55.23718596622869,41.83461895720724,-13.402567009021446
2010,1527,MO,-14.34050510440936,-4.855019287654228,9.485485816755132
2010,1540,UT,-30.54886938882701,-31.978172256970847,-1.4293028681438358
2010,1509,AR,-22.096207760748555,-1.0483098175704093,21.047897943178146
2010,1536,OR,18.632383563769935,22.27634447396385,3.6439609101939148
2010,1521,IA,-31.79453913704089,-13.378486059143992,18.416053077896898
2010,1525,MD,26.99397671858933,25.86893155146637,-1.125045167122959
2010,1532,NC,-12.02295706690433,-1.3260763893109804,10.69688067759335
2010,1541,VT,35.084382534154834,37.53601387405833,2.451631339903493
2010,1544,WI,-4.8925525755755706,11.504244355279667,16.39679693085524
2010,1538,SC,-37.960249079225335,-7.261522796479605,30.69872628274573
2010,1528,NV,6.054847941813589,17.220273711371437,11.165425769557848
2010,1530,NY,34.61466690722772,35.44511156619754,0.8304446589698173
2010,1518,IL,-1.6928822334839642,30.16526979896074,31.858152032444703
2010,1513,DE,17.154158180869505,22.481915816953205,5.3277576360837
2010,1531,NY,28.39103994975994,29.93407317815058,1.543033228390641
2010,1511,CO,1.723624084031676,5.287357604593481,3.5637335205618053
2010,1512,CT,12.138690616292056,25.919395371111097,13.780704754819041
2010,1514,FL,-41.53357375693393,2.427631395093793,43.96120515202772
2010,1522,KS,-45.31408928584686,-26.018388621662538,19.295700664184324
2010,1535,OK,-45.98901143558442,-18.9432437948131,27.045767640771324
2010,1506,AL,-30.500202183582694,-23.068993892396037,7.431208291186657
2010,1543,WV,10.391120651536607,19.581567718770582,9.190447067233976
2010,1534,OH,-18.12194805120534,-8.951905604598164,9.170042446607177
2010,1510,CA,10.609320432264035,20.478535967817788,9.869215535553753
2010,1508,AZ,-25.888662302691618,-27.441524671167905,-1.552862368476287
2010,1515,GA,-19.843308853693262,-9.880565413540065,9.962743440153197
2010,1517,ID,-48.12296011666397,-29.558417814700448,18.56454230196352
2010,1520,IN,-15.41562442609845,10.29376694235607,25.70939136845452
