test_cycle,feature_set,lambda_base,lambda_inc,lambda_interaction,lambda_era,inner_n,inner_correct,inner_accuracy_pct,inner_post_mae,top20
2014,outparty_pvi_inc,16.0,256.0,1024.0,1024.0,96,88,91.66666666666667,10.151820701803727,outparty_pvi_inc B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.15 | outparty_pvi_inc B16.0 I1024.0 X256.0 E4096.0 correct=88/96 mae=10.18 | outparty_pvi_sq B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.22 | outparty_pvi B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.23 | outparty_pvi_same B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.23 | outparty_pvi_inc B16.0 I256.0 X1024.0 E4096.0 correct=88/96 mae=10.24 | outparty_pvi_local B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.24 | outparty_pvi B16.0 I256.0 X256.0 E4096.0 correct=88/96 mae=10.24 | outparty_pvi_inc B16.0 I4096.0 X256.0 E4096.0 correct=88/96 mae=10.24 | outparty_pvi_same B16.0 I256.0 X256.0 E4096.0 correct=88/96 mae=10.24 | baseline B16.0 I256.0 X1024.0 E1024.0 correct=88/96 mae=10.26 | baseline B16.0 I256.0 X256.0 E1024.0 correct=88/96 mae=10.26 | baseline B16.0 I256.0 X64.0 E1024.0 correct=88/96 mae=10.26 | baseline B16.0 I256.0 X16.0 E1024.0 correct=88/96 mae=10.26 | baseline B16.0 I256.0 X4.0 E1024.0 correct=88/96 mae=10.26 | baseline B16.0 I256.0 X1.0 E1024.0 correct=88/96 mae=10.26 | outparty_pvi_sq B16.0 I256.0 X1024.0 E4096.0 correct=88/96 mae=10.30 | outparty_pvi B16.0 I256.0 X1024.0 E4096.0 correct=88/96 mae=10.32 | outparty_pvi_same B16.0 I256.0 X1024.0 E4096.0 correct=88/96 mae=10.32 | outparty_pvi_local B16.0 I256.0 X1024.0 E4096.0 correct=88/96 mae=10.32
2018,outparty_pvi_inc,16.0,256.0,1024.0,1024.0,161,148,91.92546583850931,9.059360630422011,outparty_pvi_inc B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.06 | outparty_pvi_sq B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.11 | outparty_pvi B16.0 I256.0 X256.0 E4096.0 correct=148/161 mae=9.12 | outparty_pvi_same B16.0 I256.0 X256.0 E4096.0 correct=148/161 mae=9.13 | outparty_pvi_inc B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.13 | outparty_pvi B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.13 | outparty_pvi_same B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.14 | outparty_pvi_local B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.14 | baseline B16.0 I256.0 X1024.0 E1024.0 correct=148/161 mae=9.17 | baseline B16.0 I256.0 X256.0 E1024.0 correct=148/161 mae=9.17 | baseline B16.0 I256.0 X64.0 E1024.0 correct=148/161 mae=9.17 | baseline B16.0 I256.0 X16.0 E1024.0 correct=148/161 mae=9.17 | baseline B16.0 I256.0 X4.0 E1024.0 correct=148/161 mae=9.17 | baseline B16.0 I256.0 X1.0 E1024.0 correct=148/161 mae=9.17 | outparty_pvi_sq B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.20 | outparty_pvi B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.22 | outparty_pvi_same B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.22 | outparty_pvi_local B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.22 | baseline B16.0 I256.0 X1024.0 E4096.0 correct=148/161 mae=9.26 | baseline B16.0 I256.0 X256.0 E4096.0 correct=148/161 mae=9.26
2022,outparty_pvi_inc,16.0,256.0,1024.0,1024.0,226,208,92.03539823008849,8.224542164641234,outparty_pvi_inc B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.22 | outparty_pvi_sq B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.26 | outparty_pvi B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.27 | outparty_pvi_same B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.27 | outparty_pvi_local B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.27 | baseline B16.0 I256.0 X1024.0 E1024.0 correct=208/226 mae=8.29 | baseline B16.0 I256.0 X256.0 E1024.0 correct=208/226 mae=8.29 | baseline B16.0 I256.0 X64.0 E1024.0 correct=208/226 mae=8.29 | baseline B16.0 I256.0 X16.0 E1024.0 correct=208/226 mae=8.29 | baseline B16.0 I256.0 X4.0 E1024.0 correct=208/226 mae=8.29 | baseline B16.0 I256.0 X1.0 E1024.0 correct=208/226 mae=8.29 | outparty_pvi_inc B16.0 I256.0 X256.0 E1024.0 correct=207/226 mae=8.10 | outparty_pvi B16.0 I256.0 X256.0 E1024.0 correct=207/226 mae=8.22 | outparty_pvi_same B16.0 I256.0 X256.0 E1024.0 correct=207/226 mae=8.23 | outparty_pvi B16.0 I256.0 X256.0 E4096.0 correct=207/226 mae=8.24 | outparty_pvi_inc B16.0 I256.0 X1024.0 E4096.0 correct=207/226 mae=8.25 | outparty_pvi_same B16.0 I256.0 X256.0 E4096.0 correct=207/226 mae=8.25 | outparty_pvi_sq B16.0 I256.0 X1024.0 E4096.0 correct=207/226 mae=8.29 | outparty_pvi B16.0 I256.0 X1024.0 E4096.0 correct=207/226 mae=8.30 | outparty_pvi_same B16.0 I256.0 X1024.0 E4096.0 correct=207/226 mae=8.30
