cycle,state,race_id,actual,baseline,baseline_correct,lite_margin,lite_correct,classic_margin,classic_correct,deluxe_margin,deluxe_correct
2018,NV,112,5.24754825,-0.623240302430761,0,0.8800000000000026,1,0.7199999999999989,1,1.1000000000000014,1
2018,MN,107,24.96346661,24.16149417875149,1,8.229999999999997,1,10.089999999999996,1,10.759999999999998,1
2018,ND,116,-10.90541074,-5.710704798494197,1,-2.5400000000000063,1,1.480000000000004,0,1.0999999999999943,0
2018,RI,119,23.15947411,28.94781047327692,1,23.099999999999994,1,30.400000000000006,1,31.060000000000002,1
2018,VT,123,42.10799183,51.54328901955392,1,,,,,,
2018,WY,128,-37.97819051,-42.61005503732155,1,-39.040000000000006,1,-40.56,1,-39.949999999999996,1
2018,VA,124,16.31990058,19.84860413893842,1,14.829999999999998,1,16.61,1,19.130000000000003,1
2018,MN,129,11.1406198,14.197382739675739,1,8.229999999999997,1,10.089999999999996,1,10.759999999999998,1
2018,WA,125,16.86751985,34.55554109776982,1,18.0,1,23.620000000000005,1,24.58,1
2018,UT,122,-33.8789401,-21.335197042302205,1,-32.78,1,-29.639999999999997,1,-29.11,1
2018,MD,104,36.30566322,42.61831816971292,1,32.47,1,38.47,1,39.09,1
2018,HI,101,42.30219569,54.9044259143998,1,48.86000000000001,1,52.86000000000001,1,53.46000000000001,1
2018,DE,99,22.63900799,35.465601649218385,1,14.96,1,24.78,1,25.659999999999997,1
2018,WI,127,10.837125,19.077959568808872,1,12.560000000000002,1,14.200000000000003,1,13.5,1
2018,NM,114,27.83688334,26.184543348339925,1,19.970000000000002,1,21.19,1,22.470000000000002,1
2018,NJ,113,11.54441059,33.998259243247475,1,6.840000000000003,1,13.280000000000001,1,14.739999999999995,1
2018,MA,105,25.03887918,33.90178934696776,1,29.270000000000003,1,33.41,1,34.05,1
2018,NY,115,33.99933379,44.676289221241056,1,29.46,1,33.599999999999994,1,34.22,1
2018,NE,111,-19.79502814,-18.903105735345537,1,-12.450000000000003,1,-13.950000000000003,1,-15.170000000000002,1
2018,MS,108,-19.41285628,-11.920684972351866,1,-17.33,1,-17.25,1,-17.09,1
2018,MO,109,-5.99663325,4.720802054996185,0,0.9200000000000017,0,2.229999999999997,0,2.0899999999999963,0
2018,MT,110,3.65691584,5.588227439814393,1,5.739999999999995,1,8.379999999999995,1,8.170000000000002,1
2018,OH,117,6.84734254,16.195381921115278,1,14.14,1,12.959999999999994,1,12.680000000000007,1
2018,PA,118,13.34586897,20.373641989955708,1,14.46,1,13.440000000000005,1,14.839999999999996,1
2018,TN,120,-10.93720415,-4.281182464397942,1,1.019999999999996,0,-1.8599999999999994,1,-2.1200000000000045,1
