fit_for_cycle,architecture,term,standardized_beta,raw_scale_beta,lambda_local,lambda_econ,lambda_national,lambda_inc,lambda_era,train_n
2026,inc_era,Intercept,-0.21068532463406112,1.5260337954833103,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,pvi,17.57699936976511,0.8856957786374365,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,same_last,2.4158707410158926,0.0858640993280126,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,same_gap,-0.6326510199273296,-0.4496784210267795,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,econ,0.50894351349011,0.22480291706538155,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,national,5.976979865487605,1.395570200942289,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,inc_diff,3.011436461607014,3.459418872986281,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,outparty,2.698388831313866,6.744719088419223,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,inc_era,0.08768824367392769,0.040829890963436054,256.0,256.0,0.0,256.0,1024.0,290
2026,inc_era,outparty_era,-0.08767513047348773,-0.09648300044057939,256.0,256.0,0.0,256.0,1024.0,290
